,776899,776926,776927,776949,776973,777000,777023,777339,777340
2020-01-02,3.7751931370263137,-5.679564742538934,-3.481767655988955,-5.133639951427771,-1.9263747705236627,-2.9029428971753166,0.27720813712798353,-1.8666551802231997,3.0127251218832463
2020-01-08,3.7435220613680347,-5.227101227363216,-2.7292669155811247,-4.222219392802149,-1.8153574603156146,-3.5002346894880407,-0.2621105492786029,-1.7704718132479842,2.350180747070816
2020-01-14,4.079876231501583,-4.503180104140489,-1.756752606282454,-4.392069081217288,-1.802299054935582,-3.608810746187631,-0.07473151708649972,-1.6530376860722997,2.695068603866906
2020-01-20,3.928203936196738,-5.393874528915199,-3.353579281759302,-3.901488843312734,-1.7646040379218269,-3.0503806808927347,-0.1387188082617019,-2.031047009550325,3.0681659925254863
2020-01-26,3.757701686408634,-5.4388322107610305,-3.1896006106956207,-3.4092575826768243,-1.702815369205383,-3.886314153661088,0.022829235145506388,-1.8339133153366713,2.7599641147965155
2020-02-01,3.863110380993133,-4.665393382645085,-2.1962580534684957,-3.571993304170487,-1.6533027836185799,-3.1837269316197094,1.3743895548957834,-1.7636335374571077,2.5604010472869394
2020-02-07,4.165663431543036,-4.503876356257351,-1.9357281936292718,-4.770801045213695,-1.6409297777729472,-3.7943963149236843,-0.5056025777255666,-1.5678936612765293,3.1485677154422635
2020-02-13,3.9726966213626955,-4.955766938224377,-3.2161045140541233,-4.803181479797603,-1.6119269286836104,-3.696562054291613,-0.5223802853893922,-1.4853963975135933,3.0779767561502425
2020-02-19,4.099706284418113,-4.758287239213939,-2.3986052250174605,-5.149822687222317,-1.589269860803598,-3.363264071645945,-0.5484570730686729,-1.3204098294770574,3.1736754808690613
2020-02-25,4.360392690472594,-3.227959761756095,-0.20321891200833697,-6.524815715122769,-1.649181676544611,-2.9824712725077234,-1.7527611036969901,-0.7551939528222835,3.339930569797124
2020-03-02,4.372334375458427,-3.686429840041452,-2.524377588201057,-7.030082503200785,-1.67525855829117,-4.152016568561965,-1.0554032635725124,-0.6768785405214608,2.5918869560615594
2020-03-08,4.304446346945365,-3.045134361414199,-2.489960236093138,-6.350173908657702,-1.697402131262474,-4.893641972601087,-0.5182366122402939,-0.520798829143156,1.8951315403770117
2020-03-14,4.693428800119909,-2.2314650878887115,-1.130751358203689,-7.336320593712273,-1.7622104850640588,-4.6692347579628946,-2.163405029300651,-0.101043677706663,2.32727254197645
2020-03-20,4.699070581006568,-3.1536803539380927,-3.8288587570953307,-6.642059727515063,-1.7548829512515436,-4.193987840012263,-0.3336987970687879,-0.27046858409220587,1.7391115256763445
2020-03-26,4.633673375361681,-3.337440975792095,-3.1058204341499724,-5.762886468135635,-1.720092975708484,-4.219597328353837,-0.40737693064547287,-0.4466823998899292,1.803444595087094
2020-04-01,4.653082109942819,-3.336051706247993,-2.9277881235646355,-5.886929486999613,-1.6982750255008465,-4.622767804814774,-1.1042703024991507,-0.44121134831409226,1.7812701955375747
2020-04-07,4.4312255567155105,-2.466385973031972,-2.4234474999160103,-6.127725911009502,-1.7099505268903963,-3.940252640787377,0.5492624511365243,-0.3974849292780691,1.1314370769015172
2020-04-13,4.529499799889262,-3.150389969965625,-2.75758798630992,-6.427831585540916,-1.6936250492915832,-2.3595163278012308,0.1670833967749239,-0.7164233444083417,2.1102575415985534
2020-04-19,4.256913932634003,-2.311603771181325,-3.025675619174093,-5.9427862129547835,-1.7117117931343113,-3.5522408697679726,0.46320995459804415,-0.597938805241097,1.184965507101161
