,10905,10961,10982,11038,11161,11176,11208,11243
2020-01-06,5.970253730304282,9.778567200174232,4.057833267481249,12.394689330208589,4.713802596103639,2.4338346511135844,6.8419075564350615,1.9889462027444775
2020-01-12,5.790639307520571,9.932807255894609,3.9699015419912156,11.657770448457338,4.6848568956073375,2.8839743011914045,6.797454938155469,2.139738726520042
2020-01-18,5.751205048878344,9.9162423510013,3.922726625905395,12.459876486077862,4.630316527964162,2.835148560664037,7.324524988796612,2.261482449917544
2020-01-24,6.362747448383885,9.24071791532427,3.571211521647034,11.696381582064113,4.950001464809452,2.6688190879890206,7.668442753421707,1.315490023893899
2020-01-30,5.69946642570395,8.921467188074674,3.498897131717844,11.144925740394227,4.2194622548513685,2.3766860303471917,7.109228590233864,0.8318467151418218
2020-02-05,5.451397294066966,9.25978309072614,3.583834260803804,9.864937059476619,4.794451308008371,1.823904716297812,6.513016273227863,3.44604165200826
2020-02-11,5.430569076124057,8.734373437264859,2.9170428721631536,10.569750852801919,4.7647327294672515,2.404723166684863,6.336707473709933,2.745058740060374
2020-02-17,5.039883577421257,8.398118157332334,3.1050581034418085,10.943319415464837,4.211686569172617,2.4518783678984777,6.200290860343439,1.7412588786313812
2020-02-23,4.915973145593288,8.144880800350307,3.69116298774835,10.661117989294414,3.9133436218159297,2.5949428021999807,6.178446815751724,0.1482475166996906
2020-02-29,5.022461808166122,7.681912683139399,3.276449621462519,9.786519523963008,4.179347289314766,3.8241337223320873,6.01587465507614,-0.9164998955964769
2020-03-06,4.999429279266902,7.864556862115463,3.2066060979509645,10.123299720782551,4.200503898411046,2.333044106870097,5.9245506166061075,0.1863060567129846
2020-03-12,4.515156364571373,7.772595216242178,3.1348462335976306,9.644661888126059,3.689122931025155,2.3036322352850407,5.637553974709491,0.8585941448223888
2020-03-18,4.320243318600122,7.690070779815367,3.7214232646655736,9.841703668641506,3.589916713528895,2.9040951893925024,5.578623460858339,0.38016125741349427
2020-03-24,4.814199747718904,7.509927392807165,3.4334334449051473,9.101466898491758,4.141258923032787,2.8406942480047137,5.500354097814724,-0.14409590061211475
2020-03-30,4.926406391258853,7.5769999415199285,2.599618756061825,9.285859101592878,4.374345616202424,2.2236196967521575,5.417998587410213,0.619715174448249
2020-04-05,4.474067237732196,7.069124377703709,2.7971961185649983,8.939071518080771,3.5612588577685447,2.3597017941888376,5.2680823719654635,-0.42880441714143736
2020-04-11,3.770411224998836,7.995603485073555,3.8132164700545284,9.654461002538008,3.5581204705329306,2.811261531317424,5.239426970651883,0.5701200848408163
