,720574,720593,720808,720906
2020-01-02,3.96979862457147,-1.622691802420075,1.9570276912435949,3.1196205934342536
2020-01-08,3.8187754333397494,-2.5455146834852362,2.420927568551077,4.11033576854145
2020-01-14,3.4215097348603187,-2.3625623127453217,2.4407090345723956,3.8122467889475975
2020-01-20,3.275568642329863,-0.9065520529672586,1.841918504727024,2.574552193946459
2020-01-26,3.62696294461521,-2.2619075589628066,1.7781860707620303,2.845766225075226
2020-02-01,3.452686208070606,-2.139786075296896,2.2784373474195867,3.385159918826559
2020-02-07,3.721300853983779,-0.7643881895271214,1.5544137530884972,3.786208988933842
2020-02-13,2.4539304803776236,-1.4305232837517377,1.5413683218295198,1.2954381538433242
2020-02-19,3.354709641857294,-1.0333132065407753,1.3624031832076686,3.4575231122108616
2020-02-25,2.959339612620359,-1.170142377948702,1.5605598888364955,2.973593346337377
2020-03-02,3.3071868805948545,-0.09483238589554333,1.6162125312890945,1.0378182407785732
2020-03-08,4.202179574178668,-0.5171837962834829,1.8936263189651559,3.009069748062419
2020-03-14,2.9201480753760363,-0.6990634933517494,1.3949292783879947,2.6179847977591915
2020-03-20,3.763460489389205,1.4742179918337115,1.9029250110819014,2.1246112928781673
2020-03-26,3.777959470522326,0.10683088065474777,1.6079234234495563,2.0013739808201456
2020-04-01,3.8454087104360655,1.6995227559838337,1.3738685132812267,1.9915538864882634
2020-04-07,4.42329694673938,1.048745485876717,2.4276863860094737,2.7568898901230967
2020-04-13,3.918977975622721,2.2593414678976096,1.921614231967646,2.1865994259962798
2020-04-19,4.657304039115393,2.3077037493802592,2.5904776557041274,2.7343844867543203
2020-04-25,4.454856098683748,3.05045657538151,2.4279372319694073,2.583012815681258
2020-05-01,4.752118517889897,3.5737530115568443,2.47776165848481,2.364465157951789
2020-05-07,5.398761751899104,3.6948270948818767,2.861831642841846,3.0428943377397952
2020-05-13,5.120481802118433,4.378397038823927,2.511830830002615,2.650244736545648
2020-05-19,5.967289646191937,4.057872777014921,3.476751731562544,3.457997284786902
2020-05-25,5.692298289538999,4.938443261284098,3.461010892165537,3.4310858787807184
2020-05-31,6.090813022176783,5.47951563740132,3.667181988858019,3.6370985084177847
2020-06-06,5.9703293674764835,5.719345039406683,3.517550650935431,3.4425832031167984
2020-06-12,6.842035051310039,5.530699194668658,4.468573732758295,4.361702007729244
2020-06-18,6.562888422020451,6.335091317560506,4.346342610299589,4.288531489463393
2020-06-24,7.055066965540381,6.472660399154508,4.893969013196416,4.837865993372553
2020-06-30,6.857365758966403,6.921753560721799,4.665011901214344,4.665071927156136
2020-07-06,6.984136188523997,7.091530007267769,4.407460260943151,4.435803032477526
2020-07-12,7.3899901146887865,6.712566366903795,4.654247796284344,4.8016797791178085
2020-07-18,7.620927707443951,6.450540521137297,5.153219036421451,5.295913217394295
2020-07-24,7.770075427102097,6.7527240626358935,5.348987069719092,5.621143094433165
2020-07-30,7.662577939054869,6.907490659752556,5.312512403118269,5.641919336543932
2020-08-05,7.630430696861711,6.7898218800882315,5.408923447434852,5.822749435959619
2020-08-11,7.755185971196538,6.2650253378936345,6.147736839849513,6.378152077893056
2020-08-17,7.529324258555062,6.872597154694054,5.648683201183833,6.078792794624729
2020-08-23,9.545073945388271,7.081668126467731,5.699025184602698,9.476891262708117
2020-08-29,9.06255568809863,4.645842696389693,6.300669609844615,6.628878560723269
2020-09-04,8.849725577158175,4.364170558470313,6.891875983717664,6.65424009683281
2020-09-10,8.537052430783838,6.135472892744621,6.494945768932643,6.460897585029638
2020-09-16,8.560896746379875,5.944785104101205,6.970739292409741,6.919822284668655
2020-09-22,8.31083506557583,6.050075769228295,6.527957558813897,6.610736177132777
2020-09-28,7.9901177207582945,5.724494361716285,6.052777764900291,6.195364764807151
2020-10-04,7.897573515698203,4.871496005541898,6.005767705132824,6.251746292876923
2020-10-10,7.572105943550921,4.417236323561708,5.649470867405698,6.015280427728227
2020-10-16,7.885338213357,4.114311743722428,5.483921311569977,6.439490275123031
2020-10-22,7.80431649507588,2.804379738158069,6.212356259469665,6.491513214905659
2020-10-28,7.070184159235452,3.441886481626929,5.598553448038147,6.103968197033433
2020-11-03,6.681517042745058,3.0948452998913307,5.201776869183579,5.791501907211298
2020-11-09,7.3370179718519735,2.3325144096800976,5.3017329888725495,6.228160435666506
2020-11-15,6.786683592440482,1.5857236865679845,5.309054705499731,6.063308240311718
2020-11-21,6.267985400183963,2.093323652414533,4.3384697042747815,5.600395388722093
2020-11-27,5.8622171735608815,1.1636388411741656,4.097799085866495,4.786248168919174
2020-12-03,5.9630725153011985,0.9593621945085289,3.7475528926597645,4.6498806363978975
2020-12-09,5.414782476658636,0.4040989738483951,3.4091873608896597,4.308749306034111
2020-12-15,5.428644610461343,-0.2850638974922717,3.760490647172813,4.613671271017619
2020-12-21,4.674605745951707,-0.12193987881836854,3.351915559347071,4.190769662846481
2020-12-27,1.606854701787963,0.0780638745886506,3.1339056030753287,-5.448118820844628
