,T0,T1,TM3,TM6,W0,W1,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
336238,0.1545,0.2687,,,1.0893,-1.066,,,,,,,0.0988,,-0.0005,-0.8855,-0.0887,0.0245,0.0248,
337321,-0.0931,0.0017,,-0.1727,3.2308,2.259,,-5.3927,0.2872,,,,-0.0223,0.0177,0.0003,-0.9618,,0.0336,-0.1198,-0.1338
338995,-0.2114,,0.2873,,2.1275,,-2.3005,,-0.0191,0.1549,-0.1426,,0.1083,,0.001,-0.9305,,0.0303,-0.0061,
339099,-0.1122,,,,0.2093,,,,-0.8908,-0.7097,-0.3383,-0.1715,-0.0719,0.044,-0.0005,,,0.0306,-0.0227,0.0348
339201,0.128,0.3102,,-0.3346,1.562,1.2151,,-2.5346,-0.5456,0.1576,0.0855,0.0578,,,-0.001,-0.1695,-0.809,0.0216,,
339202,-0.1837,-0.0439,0.0087,,2.1374,0.6502,-2.5607,,0.0926,0.4252,0.128,0.0615,-0.1294,-0.0434,0.2069,0.1303,-0.3703,0.0262,-0.1351,0.0127
