,260045,260246
2020-01-05,-0.21261008634449752,-2.208397864502464
2020-01-11,0.18266948529690197,-2.1426646267595597
2020-01-17,0.1749685103378802,-2.3332902829263187
2020-01-23,-1.11489874386813,-2.070205450341862
2020-01-29,-0.28321336655653795,-2.040817428704395
2020-02-04,0.6275887766207084,-1.9874656402093613
2020-02-10,-0.620565264463016,-2.3124961607075525
2020-02-16,0.07932231209307972,-2.299209477645231
2020-02-22,-0.10505465250171042,-2.209378247554752
2020-02-28,-0.1539567988343613,-2.096666323756362
2020-03-05,-0.16555254647670736,-2.26167431688995
2020-03-11,-0.04132927095931649,-2.6253060967189015
2020-03-17,0.4197928934948294,-2.7211611077552265
2020-03-23,-0.20194140948549943,-2.540328181520679
2020-03-29,0.558718790364015,-2.609377056368878
2020-04-04,0.23808574916168013,-2.8804014946047545
2020-04-10,1.2398429276058245,-3.2760586087237877
2020-04-16,0.2834070548932459,-3.479717475535188
2020-04-22,1.1511617952203643,-3.7761482700351934
2020-04-28,0.976873285556696,-3.8173533851261263
2020-05-04,0.7325980294885959,-3.9400693306116743
2020-05-10,1.4524802387101232,-4.325422194380398
2020-05-16,0.583058321191583,-4.349258835061671
2020-05-22,1.6444493905166375,-4.84354349323478
2020-05-28,1.394466908356783,-4.9510224559110565
2020-06-03,1.7482026103915729,-5.306069279558235
2020-06-09,1.0877625491656353,-5.300792301016297
2020-06-15,1.9952504621296399,-5.621149974408084
2020-06-21,1.6891552227618085,-5.796885240940581
2020-06-27,2.1449733773951714,-6.123008365369218
2020-07-03,1.7092712400151484,-5.993681776560612
2020-07-09,1.2090996325444365,-6.222540660549214
2020-07-15,1.562486586451481,-6.246597407441296
2020-07-21,1.7939348844320584,-6.316642680311221
2020-07-27,1.7735837571283959,-6.529583074692554
2020-08-02,2.128640433003504,-6.658502908769714
2020-08-08,2.093966278397996,-6.891160785620103
2020-08-14,2.166892005818255,-6.8215575511805415
2020-08-20,1.6095094483444043,-6.95500530368572
2020-08-26,-0.6851156592436407,-7.294765214515682
2020-09-01,-2.113215172347365,-7.354631065574066
2020-09-07,-2.4840940626740853,-7.233122012696583
2020-09-13,-2.44862625847556,-7.297094847232932
2020-09-19,-2.358518962360675,-7.151224060424999
2020-09-25,-2.240136748352498,-6.944507451126718
2020-10-01,-2.82814083325138,-6.87624944881007
2020-10-07,-2.852892428934135,-6.64178369918989
2020-10-13,-2.9864693616353613,-6.332274764310215
2020-10-19,-3.354715263849048,-6.257401818408022
2020-10-25,-2.553327188599834,-6.230312341169036
2020-10-31,-2.7119328229805326,-6.054806401534805
2020-11-06,-3.5715146435268217,-5.595292254207408
2020-11-12,-3.25196125021443,-5.588879149566457
2020-11-18,-3.023111255521421,-5.469093630847853
2020-11-24,-3.340658059640587,-5.080215014146597
2020-11-30,-3.8217295039581316,-4.595056584107242
2020-12-06,-3.1077872419775705,-4.520666766918913
2020-12-12,-3.1234226362923536,-4.363524473472443
2020-12-18,-1.9116579805153293,-4.123738822756822
2020-12-24,-0.8909001340069285,-3.7565403149491186
2020-12-30,-0.5275282907546028,-3.1962759437707016
