,456478,456532
2020-01-01,7.773654413266074,2.575711302338966
2020-01-07,7.213214918850198,2.278831568502286
2020-01-13,5.615261242479512,2.051963264650172
2020-01-19,6.6614641097205425,2.169477366154875
2020-01-25,7.65813945861292,0.930505268298719
2020-01-31,5.61339787038826,1.930911918704786
2020-02-06,5.2900924934026925,1.2098724360056798
2020-02-12,7.021561717211457,1.5078869716530066
2020-02-18,6.184750221875229,2.283455914127206
2020-02-24,5.751677839327266,1.7566166159481793
2020-03-01,6.15538071921935,1.0152972281703443
2020-03-07,5.992740189343717,0.7888813894127299
2020-03-13,5.959720248300233,1.8669412344344236
2020-03-19,5.168416039987758,1.7400869415969296
2020-03-25,5.408697668026736,0.3038100825128136
2020-03-31,6.457704421433311,-0.12666373209496973
2020-04-06,4.762944287102796,1.5971552889899376
2020-04-12,2.8794834502922733,2.237538829082376
2020-04-18,2.8419563214197794,2.5360527553416454
2020-04-24,3.018419474217403,2.6765878312136877
2020-04-30,3.717401208360087,2.1796343962668128
2020-05-06,4.4277686105899114,1.3985374230120908
2020-05-12,5.439472298755533,1.7193393527225775
2020-05-18,4.39804027033537,2.097594221782736
2020-05-24,3.4235578358481114,3.223304634269952
2020-05-30,3.2452086031234426,2.9535181824063326
2020-06-05,3.7433955050492482,3.304107428566416
2020-06-11,3.465456419731435,3.1943046539451374
2020-06-17,2.161044654144204,4.10754595606798
2020-06-23,1.4670510881678602,4.452196757611017
2020-06-29,1.8672654010636212,4.862106146232267
2020-07-05,1.6530966765939947,4.473571509684521
2020-07-11,2.097946731371856,4.4473835167324784
2020-07-17,2.362223098684824,4.414117994086699
2020-07-23,1.8867790713965604,4.572659344927182
2020-07-29,1.932628302851068,5.62397438003913
2020-08-04,2.0417839492586918,5.554421530453606
2020-08-10,0.5153871262543461,7.385783462885937
2020-08-16,-0.45693823932099775,6.881007325389839
2020-08-22,0.2153447842866001,7.445701549132099
2020-08-28,1.336129005503853,5.832616363679657
2020-09-03,2.370562754366782,5.378643343896114
2020-09-09,1.94559151494847,5.767045861729672
2020-09-15,0.631580455867141,6.8261530884679384
2020-09-21,1.045301442698868,6.343036947786047
2020-09-27,2.8907480709958744,5.026048937888605
2020-10-03,3.245421254396156,5.970125942453953
2020-10-09,2.9496202796800155,5.468208153469369
2020-10-15,3.973261397413987,4.509996182888031
2020-10-21,3.4189034659053554,5.217766175271877
2020-10-27,3.1663260793970895,5.361665641006272
2020-11-02,2.4372577566050406,5.9615246251699014
2020-11-08,2.424177661427647,4.7467159304137265
2020-11-14,3.2911413115620114,4.823266288784405
2020-11-20,4.741856503279658,4.56729750395845
2020-11-26,5.592518912966607,3.8356503636275674
2020-12-02,5.824048614724154,2.9076052353398354
2020-12-08,6.381870578021143,3.010459464558363
2020-12-14,5.673616007689947,3.553706519175787
2020-12-20,4.603849459098855,3.9187971341901084
2020-12-26,5.230252672799432,2.7018260437784107
