,T0,T1,T2,TM6,W0,W1,W2,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)",intercept,ma.L1,sigma2,"sin(1,365.24)"
726147,-0.0557,,,0.0036,0.8026,,,-0.6745,-0.0413,0.0247,0.117,0.0586,0.077,0.0003,-0.8839,0.0225,-0.1226
726746,-0.3491,-0.1282,-0.0428,0.3236,-0.0073,0.7305,-0.0648,-0.8587,,,,,,0.0016,,0.0365,
