,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
316031,-0.3899,-0.0836,,0.2782,,-3.6157,0.0471,,3.8735,,-0.1423,,,,,0.0002,,,0.0328,,
316359,0.0176,-0.0273,0.0751,,0.132,-0.2924,0.1633,0.0983,,-0.1383,,,,0.2674,-0.024,-0.0005,,,0.0191,0.19,0.0824
316360,0.052,,,,-0.0168,-0.2555,,,,0.078,0.9254,-0.3822,0.2624,,,0.115,,,0.0141,,
316361,-0.0074,0.0869,,,-0.0503,3.2383,2.9048,,,-5.8854,0.6587,,,,,0.1365,,,0.017,,
316362,-0.0754,0.0535,0.0362,,0.1012,0.5863,0.8686,-0.2938,,-0.8619,-0.1946,,,,,-0.0018,,,0.0173,,
316363,-0.0977,,,,0.1781,3.9755,,,,-3.7636,1.1981,-0.2137,,,,0.0057,-0.7993,-0.1475,0.0288,,
