,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
52887,-0.2986,-0.1969,,,0.1511,-4.3494,-1.5897,,,5.9141,,,,,,,0.0011,,,0.0311,,
53454,-0.2127,0.0178,0.1121,,,0.3347,-0.6021,0.0388,,,-0.5215,0.2701,0.1687,0.1768,,,-0.0001,-0.1392,-0.84,0.0416,,
53642,-0.0951,,,,0.2683,0.0601,,,,-0.3779,-0.182,,,,,,-0.0009,-0.5316,-0.3255,0.022,,
53833,0.1891,-0.1217,-0.1008,-0.0151,,9.1628,-1.6351,0.825,-8.2214,,,,,,0.0815,0.1099,0.3407,,,0.0335,-0.0772,0.0062
54253,-0.2932,0.1744,,,0.122,6.9739,7.1203,,,-14.3202,0.0528,0.9461,,,-0.4075,,0.0047,0.7593,,0.0435,-0.0381,
54254,0.3259,,,,0.0207,-2.6662,,,,2.4358,0.211,-0.3472,,,0.0768,,0.4239,-0.1186,0.2009,0.0265,0.1672,
54419,0.1236,-0.0743,,,,-0.2469,-0.0446,,,,-0.5976,,,,,,0.0007,,,0.0346,,
55000,0.4674,0.146,0.2603,-0.1009,,2.5321,2.5445,-0.6164,-4.4756,,0.5401,0.1308,-0.027,-0.0837,0.2567,,-0.0087,-0.2547,,0.0341,0.0899,
56498,0.0191,0.0725,,,,-0.678,0.7404,,,,,,,,,,-0.0014,-0.9387,,0.0112,,
57131,0.0422,0.1897,0.1444,,,-0.225,0.8951,-0.6153,,,-0.5175,0.1284,0.0358,,,,-0.0017,-0.2778,-0.6056,0.0129,,
57769,0.152,,,,-0.0083,-1.8034,,,,2.3114,,,,,,,-0.0017,,,0.0128,,
58600,-0.092,,,,,0.1875,,,,,-0.6826,-0.3702,,,-0.0438,,-0.0035,,,0.022,-0.1814,
59983,0.5802,,,-0.9313,,4.341,,,-4.2249,,0.1088,0.8605,,,-0.1174,,0.0216,-0.0459,-0.7732,0.0186,-0.125,
60189,0.3046,0.1332,,,,-0.9892,0.6973,,,,,,,,,,0.0007,-0.8789,,0.0387,,
60190,0.0495,,,,,-0.3077,,,,,-0.5039,,,,,,0.0009,,,0.0485,,
61009,0.324,,,-0.3405,,-1.6332,,,1.4871,,-0.9034,,,,-0.1402,,-0.001,-0.1518,-0.8354,0.0394,-0.0041,
61010,-0.1421,0.3013,,0.2181,,-12.3792,-2.9285,,15.2803,,,,,,0.1082,-0.0615,-0.0001,-0.9985,0.0645,0.0295,-0.083,0.0336
