,260045,260246
2020-01-05,0.9115793397673926,0.47797625383296793
2020-01-11,0.8248446436624928,0.40469600713708154
2020-01-17,1.0057803384740005,0.2209888878273678
2020-01-23,0.2397086659807588,0.19757347367931555
2020-01-29,0.37891464544654596,0.25982531778407303
2020-02-04,1.1493523612991776,0.31140011134759416
2020-02-10,0.9971884520674212,0.0864515638247596
2020-02-16,1.1467399121508066,-0.007031601767740092
2020-02-22,1.5180182060139522,0.31132138335430026
2020-02-28,1.824448224367785,0.056411155710710315
2020-03-05,1.905393423308917,0.2673492973936469
2020-03-11,2.2960460486216956,0.31027509412677867
2020-03-17,3.2736419116233275,0.4289000345927927
2020-03-23,2.7877402162767098,0.5198263211287082
2020-03-29,3.2414218809759543,0.8132702678228991
2020-04-04,3.709813759022813,0.9813938733330869
2020-04-10,5.037863272104699,0.9915596250983936
2020-04-16,5.222899672685079,1.0644341351027262
2020-04-22,6.0837129634234035,1.1216045278256135
2020-04-28,6.286178683757013,1.3194889327282935
2020-05-04,6.499206293545106,1.444264848298333
2020-05-10,7.2816502230265865,1.5991180584667033
2020-05-16,7.123987244747292,1.761810709996519
2020-05-22,8.447860227781097,1.7593695359544848
2020-05-28,8.700435775267364,1.9314434269997696
2020-06-03,9.327132738634022,1.8550088916359382
2020-06-09,9.142837045175023,2.0470207896945416
2020-06-15,10.068143001683866,2.0387042520741607
2020-06-21,10.335365338882957,2.1396525019559673
2020-06-27,10.922868534289334,2.0586693707664807
2020-07-03,10.608992595804297,2.184214882339548
2020-07-09,10.736093042281068,2.134831545310984
2020-07-15,10.710277857085446,2.2957765520279088
2020-07-21,10.918362898286675,2.2706618429881216
2020-07-27,11.083094724035233,2.285918444789032
2020-08-02,11.26292870814355,2.271108172699849
2020-08-08,11.372782118495513,2.15384957162009
2020-08-14,11.502325111793118,2.1474147298642805
2020-08-20,11.284174464440968,2.0321839679082556
2020-08-26,10.569547157759173,1.7763894244475749
2020-09-01,8.766701690870589,1.5212309725479716
2020-09-07,8.060715533905173,2.263395080064102
2020-09-13,7.975739477887837,2.4441882061078086
2020-09-19,7.7884665354173155,2.4722533439331613
2020-09-25,7.131755723416321,2.43281951356047
2020-10-01,6.4488938349148786,2.4246078711433947
2020-10-07,6.086284516903456,2.470510530998446
2020-10-13,5.454586744137471,2.450750687829527
2020-10-19,4.894749944186087,2.378468888675272
2020-10-25,5.062875491401568,2.2807027304648972
2020-10-31,4.535459317698853,2.206393446921526
2020-11-06,3.7859117949483494,2.122140925422218
2020-11-12,3.299007695574476,1.966217976512283
2020-11-18,3.1486688154527833,1.950553513231486
2020-11-24,2.2235471328558525,1.8586159709576364
2020-11-30,1.5242691602519916,1.8102519195665945
2020-12-06,1.500830177069421,1.736972889879432
2020-12-12,1.2984938481866468,1.646217452291411
2020-12-18,1.552748814311979,1.470367576370816
2020-12-24,1.5806158321822235,1.3884975242022537
2020-12-30,1.3382808512011675,1.414182659007201
