,T0,T1,T2,TM6,W0,W1,W2,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,sigma2,"sin(1,365.24)","sin(2,365.24)"
260045,0.0295,,,0.1124,-0.1162,,,0.1674,-0.2254,-0.2389,-0.1974,,-0.295,,0.0011,,0.0094,-0.121,
260246,-0.0695,-0.0133,-0.0867,,0.0982,0.0914,-0.2201,,0.5946,-0.2621,0.1429,-0.0111,-0.3305,-0.0083,0.0005,-0.9334,0.0145,-0.2729,-0.0849
