,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
393323,-0.099,0.1255,,,,0.7451,-0.6988,,,,-0.4996,,,,,,-0.0003,,,0.0451,,
393434,-0.5314,0.2415,,0.4735,,3.4009,1.0283,,-4.4995,,0.0306,-0.147,-0.0739,-0.2902,0.0812,-0.0165,0.0008,-0.8988,,0.0357,-0.0651,0.0362
393435,-0.2874,0.0759,0.0819,,0.184,-0.8318,-0.7041,-0.3267,,1.7269,-0.6093,0.1943,0.0272,-0.0101,,,0.001,-0.2308,-0.7256,0.0217,,
393436,-0.3605,,,,0.2229,-0.5282,,,,0.3719,,,,,,,0.0002,,,0.0338,,
393553,-0.4554,,,,,-0.1067,,,,,0.4909,0.4662,,,,,0.0334,-0.2459,-0.5482,0.0297,,
393554,-0.1214,,,,,-0.0524,,,,,,,,,0.0182,,0.0012,,,0.0315,-0.1976,
