,T0,T1,TM3,W0,W1,WM3,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)"
456478,-0.2979,-0.2522,,-0.1235,0.1649,,-0.004,-0.1022,0.4191,0.1533,,0.4386,0.4699,0.3885,0.0209,
456532,-0.1493,,0.5427,-0.0291,,-0.0027,,,,,0.0636,0.0002,,,0.047,-0.1595
