,726147,726746
2020-01-02,16.098411026010208,5.733541732522152
2020-01-08,15.87738698275204,5.523144117221095
2020-01-14,15.521090569101055,5.3204559473074475
2020-01-20,15.677118494534092,5.8486682655404945
2020-01-26,15.497976982645817,5.374263851658609
2020-02-01,15.493624624643498,5.2114232970392695
2020-02-07,15.880443779336833,4.808098017736917
2020-02-13,15.569877930513826,5.689816559543669
2020-02-19,15.751032090022136,5.556790700970961
2020-02-25,15.821583222991631,4.999214886764356
2020-03-02,15.291871680657522,5.047943075246653
2020-03-08,15.221992863784394,4.469867024080621
2020-03-14,15.41566391684307,4.998375235558827
2020-03-20,15.029016628935231,5.054956272407884
2020-03-26,15.041547399894913,4.689064125641652
2020-04-01,15.015725223175131,5.2317362122730575
2020-04-07,14.599152311307552,4.534474736801823
2020-04-13,14.70381810539795,5.431325501955085
2020-04-19,14.476845333629893,4.629143965089014
2020-04-25,14.490386775881824,5.189204911025618
2020-05-01,14.533199326784263,5.190227814010983
2020-05-07,14.426655071694675,4.632126104326595
2020-05-13,14.557473120313912,5.545676525043344
2020-05-19,14.26364273004701,4.656838217211478
2020-05-25,14.378051237414368,5.178173750557255
2020-05-31,14.3279127069464,5.028965731210487
2020-06-06,14.445113790852435,5.613679293875087
2020-06-12,14.253648442945963,4.5784766845301
2020-06-18,14.489555464603114,5.109029569462223
2020-06-24,14.365733800212745,4.599477285758624
2020-06-30,14.496336043925115,5.327975081655463
2020-07-06,14.759847227981673,5.571338918933783
2020-07-12,14.789235852438615,5.467706283517716
2020-07-18,14.78103206186395,5.3026373072079345
2020-07-24,14.799437514218635,5.168324300453529
2020-07-30,14.977652179613546,5.396540577581639
2020-08-05,14.968835066247358,5.707294064370862
2020-08-11,14.851711768643135,5.526682967998713
2020-08-17,15.053244042346485,5.814018605379115
2020-08-23,15.420935273339452,6.134640826766216
2020-08-29,15.427283842585783,6.078998110207889
2020-09-04,15.348806641446224,5.765910480019313
2020-09-10,15.472430267098012,6.174426675013301
2020-09-16,15.363921976588554,6.188280886260197
2020-09-22,15.449338731404868,6.413323007583564
2020-09-28,15.685020699878628,6.978622063328315
2020-10-04,15.65292508304638,7.279034556672563
2020-10-10,15.971736378031437,7.362953456591441
2020-10-16,15.95618294545784,7.233412002960952
2020-10-22,15.755343669812447,6.670413781826285
2020-10-28,16.01559107089414,7.020416048751175
2020-11-03,16.36915926321809,7.2667987183389435
2020-11-09,16.238248017016534,6.380463363910248
2020-11-15,16.081993216800274,6.685879200240967
2020-11-21,16.37433823632206,7.4583971617397165
2020-11-27,16.329632714063052,7.615498610660323
2020-12-03,16.236857196785955,7.398502918527765
2020-12-09,16.246178029356596,7.9553584058385685
2020-12-15,16.031186874294992,7.463687790353459
2020-12-21,16.084565090226597,7.44236489085829
2020-12-27,17.085778642659506,8.212075804007101
