,393323,393434,393435,393436,393553,393554
2020-01-05,-0.06763936401576931,1.5132057831250334,1.2497897807378955,0.6757300495853196,-1.8761806618673393,3.285368638698334
2020-01-11,-0.10055246411921193,2.3048675736238335,1.9591499691721168,0.8090209607473486,-2.143337341716385,3.2283382568768304
2020-01-17,-0.44173961439749965,1.4498429187750368,2.058214645496184,0.7272288327552303,-2.5104320114765173,3.0819672831689324
2020-01-23,-0.3170817979624423,3.7143740917450234,1.5606720090508048,1.0114505073188456,-1.5344620665520061,3.1840282007570586
2020-01-29,-0.24364947946003035,2.578199659361692,1.7519436653051201,0.7917440941358187,-1.7414049682558908,3.079558990210268
2020-02-04,0.10082879030875302,2.165021888949072,2.4069357964661933,0.9713043741907379,-1.9048696335820292,2.982309539439622
2020-02-10,-0.5000294953092972,1.1296383882260521,2.202377665255465,0.6210557018198299,-2.4067094033554994,2.8536481045901922
2020-02-16,-0.3859577015562854,1.376329007124407,0.4702923131004546,-0.2866000367962229,-3.314654004592927,2.6641062381964833
2020-02-22,0.017403933154191975,0.7435103656014501,2.6388328755144244,0.5321403516178433,-2.3804805200226804,2.7525518885023277
2020-02-28,-0.32468306675220004,2.424978123672556,2.754207458611429,1.2234758134560417,-1.55459888090291,2.841613687772247
2020-03-05,0.09470374013724348,0.5359718374006928,1.9669893298447416,0.4984969880999426,-1.96340409635033,2.7274684566332423
2020-03-11,-1.083096614304801,2.880963398356105,0.7873380940887387,0.453592955459027,-2.9885038132904977,2.567021151709671
2020-03-17,0.3891425630383991,0.2245381153213435,3.0694792098943147,0.30492884820464194,-2.8169403544873237,2.547323893585771
2020-03-23,7.850466560421765e-05,1.5633214839310172,3.5318715631483695,1.0213398485269813,-1.706210535487994,2.6964298553793298
2020-03-29,-0.27723073551921695,1.69300279436575,2.4684284497844846,1.0794641384948713,-1.5227376853727783,2.7171328835078934
2020-04-04,-0.44118766695835454,0.6959402778688881,1.3745578166833123,0.4415939470722119,-2.2224208384310966,2.6131343849528488
2020-04-10,-0.4383621582563779,1.5235029576636485,1.6578999985064993,0.6510372968474458,-3.115494451823233,2.4870685846772314
2020-04-16,-0.39314580683660383,0.5431648302000252,1.4651200871790735,0.053097053113329906,-3.499078666534122,2.4474116860726465
2020-04-22,-0.35436666538089634,1.5158194450519904,2.0500762297176482,0.40244808156223577,-3.465169853993503,2.479360492832296
2020-04-28,-0.3625043206539198,1.6985971093889702,2.268852030571548,0.6255551787302434,-3.146579471303811,2.5632407227202063
2020-05-04,-0.214711924598332,1.4764748206416778,2.4703613077473747,0.7623132345071184,-2.5731420765752473,2.688223092354507
2020-05-10,-0.44729918106810596,1.2245252739901664,2.1462929207840666,0.42908360400478607,-3.3296540584761374,2.620101389581286
2020-05-16,-0.2916752638867748,1.2007296677928148,2.1512102020069737,0.5329674805259108,-2.610858295529238,2.783938658990463
2020-05-22,-0.5847022855499033,0.8310859202304757,1.9151461507940049,0.2570929505246644,-3.9740038716360297,2.6382310823749315
2020-05-28,-0.30922202850362623,2.2084468081632798,2.581390558095258,0.8846307643333082,-3.071791776718534,2.843111253872369
2020-06-03,-0.5492234454684031,1.6339302988677034,2.360034521520644,0.512859295640065,-3.876555365224103,2.7937361474898226
2020-06-09,-0.2239831809317483,2.0032594260238046,2.8082455753148636,0.8427443376851222,-2.8988957988822195,3.015915263997731
2020-06-15,-0.543755434639714,1.903535741719625,2.8302505291312468,0.8600390815120544,-3.657895086501415,2.98084826960264
2020-06-21,-0.46765008670987385,1.9755548126651714,2.634052075961943,0.8004741398840114,-3.7398847326931612,3.052208256086454
2020-06-27,-0.5237271605863052,2.457956164547614,2.7145728580500066,0.6991691612091495,-4.271815813215918,3.057258491624763
2020-07-03,-0.2230559148149247,3.191938886982074,3.482488599589596,1.2412783732997177,-3.087698945828259,3.3211859521168363
2020-07-09,-0.4589206019733916,1.835917834589372,3.2141408566781315,0.9113646971108968,-3.4520795520662544,3.351002421779898
2020-07-15,-0.41241251112482713,2.9681552082523908,3.347109588029836,1.3164057714819757,-2.972670940591109,3.510961064069677
2020-07-21,-0.5473103032214688,3.327896252352666,3.5232102798028357,1.6927206930049046,-2.799922812340088,3.626126384800189
2020-07-27,-0.652424776243981,3.0026375428387144,2.7372599954709287,1.1580330176016975,-3.5295271422729932,3.6017932402615833
2020-08-02,-0.4836914175494309,4.003831670057238,3.311619278067356,1.3976884798808396,-3.520553209432081,3.6846161873931895
2020-08-08,-0.6230041917523654,3.1340801450100226,2.8271754167028345,0.5605689896081572,-4.633209462905664,3.5937556782513407
2020-08-14,-0.3941748429374443,4.224917259927887,3.8741706091406307,1.3596102039023759,-4.1286505722783176,3.7442031520427412
2020-08-20,-0.44842840166500153,3.292484696794915,3.7217351037564796,0.9198803355524161,-4.203356692646123,3.8007820733205975
2020-08-26,-0.33473718175583667,4.475992717287387,4.522912217619398,1.9285020761318936,-2.831670437015391,4.073871135737178
2020-09-01,-0.4888356959797342,4.05202049291745,4.2308684908228,1.9827946488180785,-2.356753089432683,4.204992620985971
2020-09-07,-0.5037024807596464,3.664010821205446,3.9682078207009184,2.025848211401458,-2.1871339278491666,4.281953148751678
2020-09-13,-0.5736896305202674,3.4418565951934728,3.5922005634549574,1.6949357113093324,-2.7496404108866743,4.240032368474266
2020-09-19,-0.5407522716441511,3.7414545816318476,3.9760324153549558,1.9956931832577585,-2.747785989145086,4.2784584344348415
2020-09-25,-0.4642617016708499,5.0325241945339805,4.550801289534956,2.6380126001999002,-1.7000739970346146,4.469925046946067
2020-10-01,-0.5734738409525431,3.448993108025043,3.718719754179798,1.8059010519027137,-2.1302813348230867,4.425599412096205
2020-10-07,-0.41514323482057236,4.040725956700189,4.041809879050897,2.182095342602288,-1.7298264592216697,4.498014659656323
2020-10-13,-0.19685561461646417,3.2185654989039865,4.8156783876741205,2.360154692460741,-1.1283375754305913,4.585904985311255
2020-10-19,-0.6136103790904848,3.0434616036385123,4.014518453656958,2.0845143672448945,-1.3721998955733898,4.548799330715049
2020-10-25,-0.5886627405680716,3.8385018298869547,3.581817520828606,2.131881182105124,-1.9441625497686523,4.452081300471952
2020-10-31,-0.09678201490896265,3.9467141147544957,3.5761384173699486,1.395043172289407,-2.136727954213197,4.390188600296876
2020-11-06,0.277371896915529,2.24177602277412,5.519036071622457,1.9321846623772814,-1.217144321555332,4.482465764467947
2020-11-12,-0.5054333482566733,2.894195571407474,4.5640891068140625,1.9695706081548785,-1.6048264604989075,4.392096305619444
2020-11-18,-0.56972901136078,3.182793056720703,3.242413727841125,1.7117139274752518,-1.9358650752847915,4.3069543069759595
2020-11-24,-0.2774602214707609,3.489755173320063,3.710375633369237,1.8607316917518624,-1.0661501502033754,4.393241962968699
2020-11-30,-0.3704209570228385,2.9624760637583982,4.302863312417617,2.476455505828927,-0.10519383683329764,4.491074853899231
2020-12-06,-0.6040438772548562,2.6131346715967183,3.343622524001743,2.0933980266911583,-0.565991542158157,4.369572769247647
2020-12-12,-0.4744160095434302,2.1150218057009926,2.944707563975056,1.6449890258727606,-0.9190498808973118,4.256641510373184
2020-12-18,-0.29373597257747575,3.165035562823645,3.4320055149001334,1.7359072179874424,-1.2674801752406557,4.135145322679297
2020-12-24,0.007718074895666227,4.404053090349278,3.9377394711077756,1.7841971287482892,-1.1263581523406483,4.077538711226724
2020-12-30,0.3832505801253867,1.5021339569340997,4.689400469007399,1.154790569047969,-0.8921568888007627,4.019935322672401
