,316031,316359,316360,316361,316362,316363
2020-01-05,-0.2769126930397743,-9.823704461810635,3.674224661216286,0.3780512204000397,-1.506339494932467,-4.469746385014731
2020-01-11,-1.8913862041710452,-8.800009369908281,6.299958291090405,0.16189044823534982,-0.762923189601814,-4.408294547018112
2020-01-17,-2.365672173484443,-8.063266707420432,4.584234898624629,-0.5057475503514324,-0.6291841082525433,-4.195022628503596
2020-01-23,-2.5121680891611273,-7.799178315094821,6.070217318407927,0.010979297116709752,-0.2342973521663243,-3.831259775297399
2020-01-29,-2.672555202680922,-6.80829748435697,7.401274449828307,-0.32073514239421197,-0.4041633732122403,-4.143776661878435
2020-02-04,-2.158515079823701,-6.689826706831532,-2.3291828981543006,-0.1021702394257975,0.007096482737052767,-4.21915641291238
2020-02-10,-2.1645218601600362,-7.218609344397727,-4.68409992538048,-0.411684130240352,0.17256036454109847,-4.2748681044166315
2020-02-16,-2.564245197604688,-7.356603115157277,-0.45918612579876594,-0.4948962922086846,0.020609372652682367,-4.380086989303483
2020-02-22,-2.783960403277126,-8.468761649117965,-2.638146220736033,-0.338458612034211,0.7729170532408904,-4.059814014256566
2020-02-28,-2.507433685406122,-11.472400686584606,-17.043033323988986,0.10955843742431703,2.2634151328843366,-3.964629320954889
2020-03-05,-2.0575580065667705,-12.734921470547253,-21.819862940882764,-0.029588517112688173,2.7607021620075507,-3.7792486963029512
2020-03-11,-2.409699505308872,-14.045273011313938,-16.41742018876142,-0.19489818397488534,2.857205462455928,-3.9089399724746112
2020-03-17,-2.6563411108672224,-16.33623935705157,-20.705147839405647,-0.11895919686033452,3.8884082145769217,-3.552245899614669
2020-03-23,-2.938988935056388,-17.269410070261163,-14.997107537624231,0.37679251413270265,4.186640803990876,-3.1659416629239034
2020-03-29,-2.7461073304808323,-18.290539169619603,-12.530764870746914,0.3930003668317532,4.110309580229824,-3.4110685650393364
2020-04-04,-2.3737458830072082,-19.27280097926016,-12.352968145560823,0.2641782543465814,3.6241379521249293,-3.7900532270211755
2020-04-10,-2.5869504393687475,-18.983273595406647,-12.177366494076558,-0.06402220538155046,3.15081489552594,-3.997818905216568
2020-04-16,-3.1017365064644906,-20.38133209049584,-4.78689432175787,-0.04467594450593371,2.862909285354956,-4.041221489147004
2020-04-22,-3.4334785874484144,-21.004409049932903,-2.5836476098099013,-0.09169813537849958,2.694948325982587,-4.082489920986658
2020-04-28,-3.396559331517535,-22.13641656817125,-1.8501834664657224,0.1295197564067614,2.6679665264296766,-4.049813921444914
2020-05-04,-3.041011217649938,-23.92295064039154,-4.329587689758242,0.3394728464253145,2.9291600114987357,-3.9658111238707816
2020-05-10,-2.807951386430707,-24.309948225745682,-5.020308223437141,0.21451784501366422,2.5333250381939934,-4.188597129642384
2020-05-16,-2.582939046818481,-25.84659571108887,-2.429069837098254,0.42000657646309403,2.6436459635888525,-3.8986435866363855
2020-05-22,-2.904229218705863,-25.310561798433127,-1.14022307253461,0.1523096373109709,2.0940735298049553,-4.218601092299765
2020-05-28,-2.737170331647677,-26.128003324761295,-0.7298054366902136,0.4571022496833326,2.3142898913478565,-3.7716210137845225
2020-06-03,-3.110021412931765,-25.956033795752937,2.535079409486002,0.2977789119848113,1.8456408276972809,-4.031570034013693
2020-06-09,-2.694117239761111,-27.06582138296059,1.244484354251611,0.7164511254041654,2.213775298150029,-3.5647957085667032
2020-06-15,-2.803546445334314,-26.368168351268967,-0.23886732570639424,0.628646322486988,1.882815310060801,-3.805847095019481
2020-06-21,-2.539332142667334,-26.364581272317928,-0.8470913722259326,0.6427872674616442,1.769344642541327,-3.6649627407844347
2020-06-27,-2.8969469836171715,-25.703216009103603,1.3731846744730518,0.6445073725139077,1.513602341111996,-3.6590992336820705
2020-07-03,-2.7555804749903903,-26.294859269852246,-0.09439193484914199,1.1025720107452983,1.9362470441376036,-3.285104586475944
2020-07-09,-2.6031334342376002,-26.057269422146913,-2.0383642095407737,1.1291034967840874,1.7475238360395213,-3.496361493170075
2020-07-15,-2.109554369598291,-25.75782895588131,-6.582835784452229,1.3430657714189609,1.8587546624754907,-3.3423272920664155
2020-07-21,-2.0704373622168912,-25.203137437831302,-9.193001028251643,1.460669017636845,1.8189248236944682,-3.4224540271106108
2020-07-27,-2.0087569523031537,-24.59284534160327,-9.747599835335919,1.3328358941761884,1.5246862489827855,-3.6043223487528113
2020-08-02,-2.1629144211808917,-23.86298412513267,-9.797357287059157,1.402879360322463,1.416533518115422,-3.6030352125152643
2020-08-08,-2.6660898115335154,-23.03482061601854,-5.0544428472124565,1.0627806787168836,0.8208658846681143,-3.9790071664329476
2020-08-14,-2.891565344736488,-22.188670926558114,-6.031871245816575,1.2540915082580169,0.8861140635498508,-3.8518719551188934
2020-08-20,-3.2027729552011106,-22.36847878440771,-3.887028581237203,1.2393803374012533,0.7750300942492334,-4.092789414968061
2020-08-26,-2.738425118391035,-22.36280492088771,-9.555363930595547,1.7000120707097324,1.177773887379697,-3.9235853609154496
2020-09-01,-2.3343350971709995,-22.469402646521996,-13.0691145245693,1.7677009542727022,1.138216388419922,-4.259647800151637
