,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
776899,-0.0535,,,,,0.0702,,,,,-0.1474,-0.7464,0.1765,,,,0.8341,0.2329,0.8161,0.0304,,
776926,0.2007,0.0175,0.0692,,,0.6462,-0.6843,0.2743,,,-0.4558,,,,,,-0.0025,,,0.0345,,
776927,0.0766,-0.0146,-0.0975,,-0.0255,2.0412,-0.2013,0.4156,,-2.2402,,,,,,,-5.516e-05,,,0.0357,,
776949,0.0746,0.0736,0.1418,,,-0.6801,0.1944,0.5154,,,-0.4383,-0.2148,,,0.2252,0.0492,-0.0014,,,0.0297,0.104,0.0707
776973,-0.0072,,,,,-0.0703,,,,,0.0937,-0.0059,0.134,0.0723,-0.0167,,-0.0006,-0.9698,,0.024,0.1359,
777000,-0.4417,0.1211,,0.5013,,3.0066,1.016,,-4.1528,,,,,,,,0.4551,0.4432,0.188,0.0249,,
777023,0.4369,0.2557,,,,-1.2551,1.176,,,,0.9363,,,,0.3731,-0.0059,-0.0059,-0.198,-0.7884,0.042,0.2451,0.027
777339,0.0195,-0.0548,,,,0.3601,-0.1706,,,,-0.7744,-0.4475,-0.2885,,,,-0.0004,,,0.0228,,
777340,-0.6452,,,0.3444,,2.3014,,,-2.5609,,-0.6054,-0.4447,,,0.029,,0.0016,,,0.0274,0.0849,
