,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
407974,-0.2548,,,,,-0.2252,,,,,0.0705,,,,-0.0429,-0.0691,0.0002,-0.887,,0.0247,0.0892,-0.0044
408581,-0.1182,,,,,0.1261,,,,,-0.6012,-0.4139,,,,,-0.003,,,0.0169,,
410495,-0.2236,,,,0.0183,-0.8876,,,,0.8127,,,,,-0.1115,,-0.0008,,,0.0333,-0.0221,
410874,-0.093,,,,0.3631,0.2393,,,,-0.1594,0.1309,0.8206,,,0.1254,,0.0141,0.2138,-0.5391,0.0128,-0.0319,
411002,-0.0574,,,,0.2187,0.1475,,,,-0.0683,-0.2488,,,,0.159,,-0.0001,-0.5869,-0.3659,0.0314,-0.1724,
411627,-0.2179,-0.0216,,,,0.0477,0.2078,,,,0.1331,0.0403,-0.0962,,0.152,,0.0003,-0.8755,,0.0211,-0.1497,
412120,-0.208,0.0265,-0.0881,0.0759,,3.1907,0.0511,-0.3483,-3.046,,,,,,-0.2453,-0.0338,0.9024,-0.0755,0.397,0.0236,-0.1365,-0.016
412519,-0.2679,,,0.1291,,7.5057,,,-7.9038,,0.8704,,,,,,0.1022,-0.6406,,0.0308,,
414147,0.0208,-0.0649,,,,-0.465,0.5592,,,,0.1222,0.6726,-0.1622,0.0816,,,0.1382,-0.0081,-0.612,0.0377,,
