,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
10905,-0.09,,,,-0.2496,0.3879,,,,-0.4331,0.0348,0.0564,-0.054,-0.1242,0.0418,,0.0016,-0.9407,,0.0172,-0.2149,
10961,-0.1537,,,,0.2798,-0.2638,,,,0.1023,0.0628,-0.0463,,,0.0436,0.0106,0.0018,-0.8517,,0.0048,-0.2594,0.0206
10982,0.1253,0.2164,,,,-0.696,0.4356,,,,,,,,0.0007,-0.0184,0.0014,-0.9422,,0.0101,-0.099,0.0359
11038,-0.204,,,0.291,,-4.8378,,,4.8303,,-0.597,,,,-0.0286,0.059,0.0015,,,0.0333,-0.2621,0.045
11161,-0.2034,0.0097,,,,0.4646,-0.5631,,,,-0.0023,,,,-0.0109,,0.0013,-0.9928,,0.0218,-0.0499,
11176,0.1219,0.1875,0.097,,-0.0415,-4.2421,-3.7417,0.6845,,7.0639,0.4824,0.4863,0.0154,,-0.0493,,0.0085,-0.5318,-0.2678,0.0112,0.0101,
11208,-0.017,,,-0.0109,,-1.7193,,,1.6753,,0.1445,0.0467,-0.0823,-0.1436,0.0362,0.02,0.0013,-0.8643,,0.0105,-0.2488,0.0339
11243,-0.4186,,,0.5388,,5.631,,,-5.7796,,0.1637,0.5958,0.0713,0.0068,,,0.0841,-0.1464,-0.5672,0.0346,,
