,287970
2020-01-05,3.7793299202623514
2020-01-11,4.404103622583707
2020-01-17,4.439443304917547
2020-01-23,4.852242077120937
2020-01-29,4.517369724513416
2020-02-04,4.658614101017837
2020-02-10,4.365944955578654
2020-02-16,4.4077136723508294
2020-02-22,3.7169436709364563
2020-02-28,4.1017277459028625
2020-03-05,4.058420618131298
2020-03-11,4.154849513202223
2020-03-17,3.0885575832268257
2020-03-23,3.4566196901519577
2020-03-29,3.412140312739326
2020-04-04,3.526274594109455
2020-04-10,2.805391417607349
2020-04-16,2.6322443086948955
2020-04-22,1.912796690217312
2020-04-28,1.658219133883522
2020-05-04,1.7365500054718561
2020-05-10,1.356538380326815
2020-05-16,1.657638188723741
2020-05-22,0.8696214013813428
2020-05-28,0.8719476025983282
2020-06-03,0.266811868260012
2020-06-09,0.5945685055885797
2020-06-15,0.06641014565735759
2020-06-21,0.16236015757213096
2020-06-27,-0.34002400049929626
2020-07-03,-0.1693178814503744
2020-07-09,-0.09320651415133963
2020-07-15,-0.0007296105428471478
2020-07-21,-0.109794807467825
2020-07-27,-0.005414223123134221
2020-08-02,-0.313309132986733
2020-08-08,-0.579378107732281
2020-08-14,-0.6603919827178455
2020-08-20,-0.6175135700153103
2020-08-26,-0.22461945515878234
2020-09-01,0.11411613900773254
2020-09-07,0.6606580122669081
2020-09-13,0.7945419971735204
2020-09-19,0.8713619259299836
2020-09-25,0.842465097730364
2020-10-01,1.2305947879922492
2020-10-07,1.6813877288288888
2020-10-13,1.8322414379295164
2020-10-19,2.270947772514276
2020-10-25,2.2769386264407707
2020-10-31,2.632386063703006
2020-11-06,2.7865013951072717
2020-11-12,2.9256976557415193
2020-11-18,3.2639726734808905
2020-11-24,3.3881357667770216
2020-11-30,3.7466210180796127
2020-12-06,4.026685163879994
2020-12-12,4.336870335160618
2020-12-18,4.002747562569838
2020-12-24,4.1354757741492305
2020-12-30,4.398030251447463
