,T0,T1,TM3,TM6,W0,W1,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
562692,0.0144,,,,-0.0197,,,,0.1399,,,,-0.0544,,-8.692e-05,-0.9478,,0.0448,0.0426,
562693,0.2855,,,-0.1677,1.3214,,,-1.4596,0.498,-0.5945,0.0359,0.0797,,,0.4898,-0.2268,0.5812,0.0334,,
562694,-0.1183,,,0.189,2.6682,,,-3.077,1.339,-0.5581,0.104,0.0574,,,0.0432,-0.7481,,0.0193,,
563354,0.0362,,0.0585,,4.1384,,-4.404,,-0.2056,-0.3388,,,,,0.0022,,,0.0245,,
563355,-0.1527,0.0087,0.2568,,1.7221,0.5165,-2.3855,,,,,,0.0368,,0.0009,,,0.0207,0.1334,
564018,0.0783,,,,-0.1488,,,,-0.4293,,,,-0.1266,,0.0032,,,0.0398,0.1046,
564708,-0.0177,,,-0.0344,1.276,,,-1.4132,0.4496,-0.021,-0.0754,0.0709,-0.2439,,-9.133e-05,-0.9241,,0.0179,-0.2449,
564709,0.1496,0.0259,,,-0.2023,-0.1314,,,0.22,,,,-0.1632,0.0684,0.0001,-0.4616,-0.403,0.0095,-0.286,0.0614
566127,0.161,,0.2208,,-0.9621,,0.8019,,,,,,0.0996,0.0186,0.4835,0.3054,0.2569,0.0268,-0.0994,-0.0554
