,T0,T1,T2,TM3,TM6,W0,W1,W2,WM3,WM6,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)","cos(2,365.24)",intercept,ma.L1,ma.L2,sigma2,"sin(1,365.24)","sin(2,365.24)"
1034760,-0.4348,,,0.2277,,-2.8592,,,2.7332,,,,,,-0.2774,,0.0011,,,0.049,-0.2231,
1034761,0.1077,,,,-0.1582,2.4046,,,,-2.4631,0.0198,-0.0411,0.0983,,-0.0849,,0.0006,-0.9496,,0.026,-0.1149,
1034859,0.2529,-0.1927,,,,0.3991,-0.1354,,,,0.0345,0.7386,0.1972,,0.1237,,0.0105,0.046,-0.5935,0.0166,-0.259,
1034968,-0.1304,0.0008,0.1945,0.055,,6.553,0.4326,-0.2867,-6.8651,,-0.8732,,,,,,0.0017,-0.0062,-0.9763,0.0277,,
1034969,-0.0047,,,,0.2318,2.0897,,,,-2.1376,-0.7951,,,,0.2281,,0.0014,-0.2028,-0.7648,0.023,-0.1735,
1034970,0.185,-0.0619,,0.0316,,2.5785,0.1147,,-2.6733,,-0.1937,0.1011,,,,,0.0011,-0.9302,,0.0246,,
1035088,-0.0239,-0.1798,-0.0533,0.1028,,2.965,1.0555,-0.5061,-3.6002,,0.1193,-0.153,-0.1481,-0.0013,0.0308,0.0468,0.0012,-0.9107,,0.0236,-0.1867,0.0099
1035220,0.1741,0.127,0.0642,-0.0829,,5.6814,1.6563,-1.0165,-6.6398,,,,,,0.0416,-0.0579,0.0005,,,0.0299,-0.1351,-0.0177
1035221,0.0987,-0.1347,,,0.0124,1.9698,0.6228,,,-2.65,-0.7277,-0.3071,,,0.0362,-0.0406,0.0027,,,0.0311,-0.1214,-0.0108
1035339,0.0648,,,0.2248,,2.9459,,,-2.4838,,,,,,0.1722,,0.0012,,,0.0442,-0.3519,
1035340,-0.0002,-0.152,,,,-0.0344,0.0409,,,,0.0126,0.0004,-0.1019,,,,0.0008,-0.976,,0.0361,,
1035459,0.0825,-0.1987,,-0.0743,,12.9883,1.6171,,-14.7651,,,,,,,,0.7407,,,0.027,,
1035460,0.0972,-0.2572,,,0.0613,6.2419,1.7992,,,-8.1858,0.1195,0.8515,,,,,0.0192,0.0039,-0.6908,0.0352,,
1035599,0.2709,0.0608,0.238,,,0.0439,0.1417,0.1283,,,0.5614,-0.602,-0.055,-0.0916,0.3829,0.0095,-0.1451,-0.5896,0.7151,0.0316,-0.1995,0.0302
1035600,0.0885,0.0526,,-0.136,,-5.9202,-0.2297,,5.9441,,-0.0328,0.1847,-0.0103,0.011,,,0.0006,-0.9201,,0.0212,,
1035727,0.0688,0.0778,0.0081,-0.0644,,-2.5671,0.1887,0.1228,2.362,,0.095,-0.0862,-0.0649,-0.0889,0.1181,,0.0014,-0.8999,,0.0228,-0.1755,
1035728,0.0676,-0.1777,-0.0324,,,0.0213,-0.6357,0.5964,,,,,,,,,0.5822,0.147,0.0362,0.0346,,
1035954,-0.2219,-0.0284,0.0341,0.2746,,5.535,0.9983,0.1622,-6.5523,,0.377,0.1141,,,,,0.1967,-0.2922,,0.0298,,
1036078,0.1647,-0.2649,,,,1.7546,-1.7784,,,,-0.105,-0.0456,-0.0747,0.0006,,,0.0008,-0.8831,,0.0266,,
1036079,-0.0386,,,,,0.1782,,,,,-1.1005,-0.1931,,,0.1053,,0.0012,-0.0824,-0.9117,0.0342,-0.2843,
1036080,-0.1524,-0.0871,,,,0.4913,-0.3659,,,,-0.479,0.1518,,,0.3151,,0.0005,-0.3411,-0.536,0.0073,0.0461,
1036202,0.348,,,-0.3548,,5.6249,,,-5.6497,,-0.6218,-0.4525,,,0.1069,,-0.0013,,,0.0595,-0.0402,
1036203,-0.0877,-0.0164,,,,0.9845,-1.1731,,,,1.0088,-0.0566,,,,,0.0347,-0.7389,,0.0216,,
1036204,-0.1423,,,,,-0.0166,,,,,-0.8504,-0.6128,-0.5344,-0.3988,,,0.0012,,,0.0405,,
1036585,-0.3355,-0.0314,,0.4158,,5.4322,0.841,,-6.3942,,-0.6898,-0.5079,-0.3704,,,,0.0047,,,0.0224,,
1036586,-0.2204,-0.1074,0.0092,,,0.236,-0.7342,0.1532,,,,,,,-0.1692,-0.0355,-4.203e-05,,,0.0415,-0.1596,0.0369
1036688,-0.1311,,,,,-0.3563,,,,,-0.7103,-0.4726,-0.2644,-0.1235,,,0.0017,,,0.0233,,
1036820,-0.1922,,,0.0077,,4.0407,,,-4.206,,0.0873,0.1586,0.1182,-0.1685,,,0.0005,-0.957,,0.0354,,
1036949,-0.1408,,,,0.2372,1.4446,,,,-1.4378,,,,,-0.0403,-0.0129,0.0012,-0.898,,0.0257,-0.1015,-0.0523
1037072,-0.1362,-0.1519,-0.1212,0.1997,,2.998,0.7355,0.331,-4.0991,,-0.0493,0.0008,-0.0575,-0.0897,0.0036,0.0031,0.0002,-0.8745,,0.0239,-0.012,0.0631
1037318,-0.0885,,,,-0.2565,-0.7762,,,,0.9005,-0.8145,-0.7513,-0.5402,-0.34,-0.0008,,0.0013,,,0.0289,-0.1402,
