,267218
2020-01-05,11.187988175576699
2020-01-11,11.01626166207776
2020-01-17,11.12927368140711
2020-01-23,11.592815755093326
2020-01-29,11.009508574706595
2020-02-04,10.539947219086095
2020-02-10,11.493424837827247
2020-02-16,11.61265943554713
2020-02-22,12.10293868772457
2020-02-28,11.7823264460981
2020-03-05,11.133810777203463
2020-03-11,11.222782236837888
2020-03-17,12.016273410929937
2020-03-23,11.861690661951329
2020-03-29,11.245369150688509
2020-04-04,11.225668775315942
2020-04-10,11.288737367520241
2020-04-16,11.970120505377464
2020-04-22,11.994549189186905
2020-04-28,12.249454649770549
2020-05-04,11.954032614644888
2020-05-10,11.821619473285288
2020-05-16,12.349031905734924
2020-05-22,11.78885926852126
2020-05-28,12.454157688836933
2020-06-03,12.309083867506478
2020-06-09,12.753584939449379
2020-06-15,12.097245990952986
2020-06-21,12.469833323297152
2020-06-27,12.588549550500378
2020-07-03,12.968893650192271
2020-07-09,12.444403727094986
2020-07-15,12.593352320282174
2020-07-21,12.292473713904982
2020-07-27,12.2779421476091
2020-08-02,12.598122030246868
2020-08-08,12.903792246217597
2020-08-14,13.198853628741979
2020-08-20,13.123756694559074
2020-08-26,13.102784341978492
2020-09-01,12.6491562633383
2020-09-07,12.394997354899154
2020-09-13,12.238867465527086
2020-09-19,12.417090241193808
2020-09-25,12.342333307482455
2020-10-01,12.193814138306712
2020-10-07,12.115412606456704
2020-10-13,12.094569795996616
2020-10-19,11.923068111774505
2020-10-25,11.795598051380876
2020-10-31,12.159737008213028
2020-11-06,12.234749684288023
2020-11-12,11.729409847156788
2020-11-18,11.875057244405788
2020-11-24,12.299742995362585
2020-11-30,11.822312294145942
2020-12-06,11.154706571733435
2020-12-12,11.5623340954556
2020-12-18,11.523185286185779
2020-12-24,11.322112710310565
2020-12-30,11.763198174415646
