,440003,440108,441066,441598,441724,442210
2020-01-05,-4.472219944662394,2.5062497596650317,-1.0955207328838692,3.451744477817475,-0.003987027597073478,0.609738579189762
2020-01-11,-4.20514897755526,2.045698687475964,-0.9807114549915625,3.5583935764288306,0.12614527257252917,0.6003853208555556
2020-01-17,-4.176609786683734,2.1724245421651505,-1.2774075720655147,3.69450062132851,1.6585070186358202,0.5499765730810342
2020-01-23,-3.5554347077326716,1.767382338507935,-1.1723242539521226,3.2798737702242313,-2.5994293292414135,0.4551047346945918
2020-01-29,-4.51775716114728,2.560862282050694,-1.02206491953363,3.324715988085673,-1.0695175612227352,0.5778230201279024
2020-02-04,-4.387047300694607,2.008124971259438,-0.8687151384409297,3.734813057755904,0.9634454388335634,0.6484017603552559
2020-02-10,-4.246383934862896,2.123649217445532,-1.335133229231694,3.2642165029720847,-1.121372175770297,0.5152582831904251
2020-02-16,-4.971758263526707,1.6593750522743305,-1.3717768146095461,3.463934487779273,-2.1709913596231356,0.9281273183917218
2020-02-22,-3.2511592967699414,1.8899106736145894,-1.2258197026949262,3.3409858643816293,-1.511035082375571,0.7090197250963
2020-02-28,-3.7112885876142947,2.5105643681297725,-1.3238577624660057,3.53933620158151,-1.230470859592529,0.6118986793419614
2020-03-05,-4.4053109025984085,2.1356352909557037,-1.1615871653350505,3.4314189314140906,-1.045571050676621,0.6017596894242976
2020-03-11,-5.054972013115806,1.9069209946968693,-1.3344075878068482,3.3992538472877616,-1.8908410142439358,0.8081577700959093
2020-03-17,-3.6686981371712735,1.9131351839144415,-1.4801849418422126,3.646159788302465,0.523910505291223,0.7089657314050504
2020-03-23,-3.4264987997729177,2.2458391693670654,-1.3578679964713745,3.3481286578644696,-1.9041835618097522,0.6129517325724541
2020-03-29,-4.442079914951103,2.203489249144835,-1.0347755968453907,3.46904265435559,-0.3071365628735556,0.6765155290491407
2020-04-04,-4.780890618181445,2.062974336842064,-0.9891071569377048,3.4557953931303693,-1.6173372405933542,0.7649259471458034
2020-04-10,-4.8506135660463,1.8396590869488483,-1.2875354178956915,3.685082111882399,1.0303359329167492,0.8876793461035417
2020-04-16,-4.0832879111945815,1.8082503524080877,-1.4992863628517221,3.499207691879837,-1.7467296449118201,0.8920346599323725
2020-04-22,-4.378572046904798,1.6731893380376865,-1.7130384696390721,3.631594229889621,0.2836077294011581,0.9864069685492085
2020-04-28,-3.47685264676137,1.8194354526728116,-1.640367026723284,3.65412909710476,0.09426391391470901,0.8797004563380773
2020-05-04,-4.001625051657037,1.9294071269233113,-1.5694419545422607,3.4831842550421035,-0.8388797790134284,0.8719537746952009
2020-05-10,-4.616023128611567,1.677716317441198,-1.600560159263428,3.756961633429139,1.0296500201021992,0.9654512445129013
2020-05-16,-3.5350134078076785,1.9383062898726209,-1.5148284820857731,3.440882348533189,-1.2515670125916003,0.8600299936548339
2020-05-22,-5.02445350632268,1.5390445017386467,-1.7646265616879684,3.7881153935313394,1.0911976866772655,1.0651428129733835
2020-05-28,-3.531985921475748,1.6656841616024947,-1.736355918806749,3.6756778769875975,0.7791471868057727,0.9724661882635699
2020-06-03,-4.393070524282212,1.4741371671530814,-2.018559911758101,3.8096608501326426,1.449115197165014,1.069908549356156
2020-06-09,-3.3369808026968,1.7258099402194462,-1.8428224234091055,3.55691319233114,-0.2605207741086524,0.9651299291746369
2020-06-15,-4.465669742067095,1.4741407376755031,-1.957154446301078,3.842492560646985,1.880790505158732,1.0777983319059432
2020-06-21,-3.8244472627594597,1.5268890416925562,-1.9406153466910556,3.7174254818773544,1.1543557874912302,1.0572530304235803
2020-06-27,-4.318053284858994,1.2745782724363788,-2.192465638815399,3.8848212268827416,2.1030249769393237,1.1656552265417348
2020-07-03,-2.88751417716895,1.6757808150827604,-2.034203744805076,3.7148755126984527,1.5228655388176868,0.964897721052032
2020-07-09,-4.318669095177227,1.5681971084016455,-2.0887664266114827,3.6059893019194886,-0.2828080087483684,1.0453292493832302
2020-07-15,-3.6138856464809583,1.6673907568351236,-1.8900937926707022,3.6501373273709126,1.00347196262895,0.9695743502191432
2020-07-21,-3.937740950064666,1.6759207021162656,-1.9033769793871702,3.7544987783966137,1.7119013377207182,0.9506356254281263
2020-07-27,-4.4150753116980725,1.5192248018762786,-1.9463917737238687,3.696344977951668,1.338763342301597,1.0407417274317963
2020-08-02,-4.054714938266428,1.418829887814601,-2.0641379208573403,3.8359958750948513,2.267600928830703,1.077012600322484
2020-08-08,-4.289432341407753,1.2083949865145138,-2.3584685037970865,3.791333296901657,1.8860990840459912,1.1871104803476475
2020-08-14,-3.3510571671177587,1.3075334862030856,-2.4160525304419274,3.83299869016556,2.217389234538121,1.1285986220675719
2020-08-20,-3.5926182543408114,1.4350185911499902,-2.65746812580628,3.79974279710647,1.8743289290665146,1.0332974809603632
2020-08-26,-1.5299742671380434,1.8658208855482181,-3.3554918328861003,3.445609323350028,2.5028628177044645,0.10156575607202978
2020-09-01,-2.6425542934935224,1.8042086154194008,-3.662457878651361,2.83503669350623,-0.08629485010872529,-0.17753605145472395
2020-09-07,-2.941369266064867,1.9103522460493387,-2.9981949448501544,2.7440495376439813,-0.9207460901571771,-0.24861432145169982
2020-09-13,-3.611307396476171,1.7628337787789334,-2.8975309400841334,2.720090604046714,-1.0122819135559311,-0.1727703150719524
2020-09-19,-2.9146690858333946,1.8331292982042564,-2.872632343557025,2.773286050232553,-0.516906590575033,-0.23288875004335807
