,T0,TM3,W0,WM3,ar.L1,ar.L2,ar.L3,ar.L4,"cos(1,365.24)",intercept,ma.L1,sigma2,"sin(1,365.24)"
260045,-0.1021,0.2839,-0.1244,0.2954,-0.1581,,,,,8.248e-05,,0.0215,
260246,-0.1364,,0.1181,,0.5882,-0.1037,0.0878,-0.0237,0.3025,-0.0007,-0.9132,0.0104,0.2532
