date,deform
2019-09-10,0.4566157044345021
2019-09-19,0.4725618553192363
2019-09-22,0.4118659124037437
2019-09-30,0.5227895092457521
2019-10-04,0.6313160335853799
2019-10-11,0.5219371670259959
2019-10-16,0.6278271519804052
2019-10-22,0.3636128738646513
2019-10-28,0.5910111430299207
2019-11-02,0.45227069491976385
2019-11-09,0.5521031419946533
2019-11-13,0.3946077009038093
2019-11-21,0.2057436185062969
2019-11-24,0.3758849864822303
2019-12-03,0.30101782422923257
2019-12-05,0.17398584233565875
2019-12-15,0.35649555163573093
2019-12-16,0.28754216594477766
2019-12-27,0.18193489681452588
2020-01-07,0.13731371297027892
2020-01-08,0.42506387138957114
2020-01-18,0.18404731404067787
2020-01-20,0.20807120857469943
2020-01-29,0.15976957693446378
2020-02-01,0.21251954688698085
2020-02-09,0.07147888961392083
2020-02-13,0.07395630020473695
2020-02-20,0.03495169114590815
2020-02-25,0.24918105104115165
2020-03-02,0.15620687624949825
2020-03-08,0.18469291838486315
2020-03-13,0.31779103667306113
2020-03-24,0.13344854246733387
2020-04-01,0.20318169822341797
2020-04-04,0.13473109242584122
2020-04-13,0.597732733878363
2020-04-15,0.13674914005403807
2020-04-25,0.26606166297115946
2020-04-26,0.40570168688970676
2020-05-18,0.708080386066991
2020-05-19,0.52566533379101
2020-05-29,0.7244650883911061
2020-05-31,0.1884727780321796
2020-06-09,0.7299137454562235
2020-06-12,0.18066653711086642
2020-06-20,0.6625527960477741
2020-06-24,0.781166191866701
2020-07-01,0.49731905723960834
2020-07-06,0.6090131892966818
2020-07-12,0.4657595360009996
2020-07-18,0.6522885483622978
2020-07-23,0.6029157454472963
2020-07-30,0.5740046040556062
2020-08-03,0.8255126132474232
2020-08-11,0.7187440189550889
2020-08-14,1.0
2020-08-23,0.3515702876055069
2020-08-25,0.46173609875747823
2020-09-04,0.3384019456118548
2020-09-05,0.8522379383946993
2020-09-16,0.5861374990937916
2020-09-27,0.5595596822524214
2020-09-28,0.6511304192926403
2020-10-08,0.3555219059749337
2020-10-10,0.4501962517826743
2020-10-19,0.3386347361499148
2020-10-22,0.9934078833748089
2020-10-30,0.23733183186966642
2020-11-03,0.32596291844803366
2020-11-10,0.193036764330851
2020-11-15,0.4906584832420107
2020-11-21,0.2511682850345915
2020-11-27,0.4655284848693357
2020-12-02,0.19523451107796352
2020-12-09,0.4369791530130528
2020-12-13,0.16920011924191145
2020-12-21,0.5574623584299293
2020-12-24,0.10345775032025967
2021-01-02,0.6247235799190614
2021-01-04,0.4694050493574123
2021-01-14,0.08109233024735693
2021-01-15,0.1515681772212064
2021-01-26,0.6420267226199594
2021-02-06,0.18552472980220006
2021-02-07,0.0
