date,W_0,W_1,const,trend
2021-02-17,0.8673571667223549,0.9096219931271565,1.0,0.0
2021-02-19,0.8453057133310982,0.8670103092783515,1.0,0.01098901098901099
2021-02-28,0.6658870698296019,0.6735395189003504,1.0,0.02197802197802198
2021-03-03,0.662545940527901,0.670103092783515,1.0,0.03296703296703297
2021-03-11,0.6658870698296019,0.6666666666666797,1.0,0.04395604395604396
2021-03-15,0.7560975609756033,0.7158075601374602,1.0,0.05494505494505495
2021-03-22,0.7427330437687995,0.7766323024055081,1.0,0.06593406593406594
2021-03-27,0.652522552622779,0.6563573883161542,1.0,0.07692307692307693
2021-04-02,0.652522552622779,0.6621993127147782,1.0,0.08791208791208792
2021-04-08,0.652522552622779,0.6563573883161542,1.0,0.09890109890109891
2021-04-13,0.8062145005011744,0.7628865979381472,1.0,0.1098901098901099
2021-04-20,0.740394253257605,0.7766323024055081,1.0,0.1208791208791209
2021-04-24,0.686936184430333,0.6965635738831705,1.0,0.13186813186813187
2021-05-02,0.6592048112262,0.6735395189003504,1.0,0.14285714285714288
2021-05-05,0.6458402940193771,0.6539518900343655,1.0,0.15384615384615385
2021-05-14,0.6057467423989279,0.6185567010309264,1.0,0.16483516483516486
2021-05-16,0.5957233544938061,0.6048109965635851,1.0,0.17582417582417584
2021-05-26,0.652522552622779,0.6391752577319579,1.0,0.18681318681318682
2021-05-27,0.6769127965252302,0.6597938144329895,1.0,0.19780219780219782
2021-06-07,0.6224523889074516,0.633333333333334,1.0,0.2087912087912088
2021-06-18,0.6090878717006288,0.615120274914091,1.0,0.2197802197802198
2021-06-19,0.6090878717006288,0.615120274914091,1.0,0.23076923076923078
2021-06-29,1.0,1.0,1.0,0.2417582417582418
2021-07-01,0.9532241897761489,0.9989690721649533,1.0,0.2527472527472528
2021-07-10,0.8138990978950827,0.8443298969072266,1.0,0.26373626373626374
2021-07-13,0.7494153023722013,0.782474226804132,1.0,0.27472527472527475
2021-07-21,0.8763782158369512,0.9611683848797256,1.0,0.28571428571428575
2021-07-25,0.542265285666553,0.6357388316151227,1.0,0.2967032967032967
2021-08-01,0.46541931172735534,0.46735395189003504,1.0,0.3076923076923077
2021-08-06,0.46541931172735534,0.46735395189003504,1.0,0.3186813186813187
2021-08-12,0.46541931172735534,0.46838487972508175,1.0,0.3296703296703297
2021-08-18,0.45873705312395346,0.45704467353952904,1.0,0.34065934065934067
2021-08-23,0.44971600400935713,0.4536082474226937,1.0,0.3516483516483517
2021-08-30,0.45873705312395346,0.4501718213058388,1.0,0.3626373626373627
2021-09-03,0.48546608753758,0.48453608247423124,1.0,0.37362637362637363
2021-09-11,0.4921483461410009,0.4948453608247568,1.0,0.38461538461538464
2021-09-23,0.4620781824256544,0.46735395189003504,1.0,0.39560439560439564
2021-09-25,0.4553959238222525,0.46048109965636436,1.0,0.40659340659340665
2021-10-05,0.4353491480120279,0.4364261168384975,1.0,0.4175824175824176
2021-10-06,0.4353491480120279,0.4364261168384975,1.0,0.4285714285714286
2021-10-17,0.4754426996324772,0.4948453608247568,1.0,0.4395604395604396
2021-10-29,0.5589709321750768,0.5749140893470748,1.0,0.45054945054945056
2021-11-08,0.6291346475108535,0.5910652920962243,1.0,0.46153846153846156
2021-11-10,0.6458402940193771,0.6563573883161542,1.0,0.47252747252747257
2021-11-19,0.6435015035081827,0.6676975945017264,1.0,0.4835164835164836
2021-11-22,0.6692281991313028,0.6470790378006949,1.0,0.4945054945054945
2021-11-30,0.652522552622779,0.6769759450171857,1.0,0.5054945054945056
2021-12-04,0.9632475776812517,0.9690721649484625,1.0,0.5164835164835165
2021-12-11,0.9632475776812517,0.9793814432989685,1.0,0.5274725274725275
2021-12-16,0.5833611760775088,0.6048109965635851,1.0,0.5384615384615385
2021-12-22,0.4553959238222525,0.4718213058419366,1.0,0.5494505494505495
2021-12-28,0.428666889408607,0.43298969072166216,1.0,0.5604395604395604
2022-01-02,0.6224523889074516,0.6161512027491378,1.0,0.5714285714285715
2022-01-09,0.776144336785828,0.8134020618556695,1.0,0.5824175824175825
2022-01-13,0.8329435349148009,0.8360824742268139,1.0,0.5934065934065934
2022-01-21,0.7627798195790052,0.7628865979381472,1.0,0.6043956043956045
2022-01-24,0.6926161042432284,0.7123711340206248,1.0,0.6153846153846154
2022-02-02,0.7517540928833959,0.7010309278350526,1.0,0.6263736263736264
2022-02-04,0.8138990978950827,0.8213058419244064,1.0,0.6373626373626374
2022-02-14,0.8686936184430238,0.9185567010309206,1.0,0.6483516483516484
2022-02-15,0.8229201470096791,0.8821305841924347,1.0,0.6593406593406594
2022-02-26,0.5489475442699548,0.5670103092783574,1.0,0.6703296703296704
2022-03-09,0.457734714333447,0.46151202749141107,1.0,0.6813186813186813
2022-03-10,0.4553959238222525,0.4594501718213177,1.0,0.6923076923076924
2022-03-20,0.39859672569327953,0.4054982817869404,1.0,0.7032967032967034
2022-03-22,0.39191446708987765,0.3917525773195991,1.0,0.7142857142857143
2022-03-31,0.3952555963915786,0.39415807560138777,1.0,0.7252747252747254
2022-04-03,0.40862011359840134,0.4054982817869404,1.0,0.7362637362637363
2022-04-11,0.6969595723354548,0.7560137457044764,1.0,0.7472527472527473
2022-04-15,0.6558636819244801,0.6769759450171857,1.0,0.7582417582417583
2022-04-22,0.5957233544938061,0.5979381443298949,1.0,0.7692307692307693
2022-04-27,0.6114266622118233,0.615120274914091,1.0,0.7802197802197803
2022-05-03,0.6057467423989279,0.6140893470790444,1.0,0.7912087912087913
2022-05-09,0.5933845639826306,0.6013745704467303,1.0,0.8021978021978022
2022-05-14,0.5756765786836004,0.5841924398625535,1.0,0.8131868131868133
2022-05-21,0.5689943200801796,0.5704467353951927,1.0,0.8241758241758242
2022-05-25,0.5656531907784786,0.5704467353951927,1.0,0.8351648351648352
2022-06-02,0.5489475442699548,0.5567010309278319,1.0,0.8461538461538463
2022-06-05,0.5379218175743455,0.5463917525773259,1.0,0.8571428571428572
2022-06-14,0.5155362512529265,0.522336769759459,1.0,0.8681318681318682
2022-06-26,0.456398262612759,0.4639175257731997,1.0,0.8791208791208792
