date,T_0,T_1,W_0,W_1,inter_0,inter_1,W_diff,T_diff,const,trend
2021-02-17,0.29734544184421935,0.2426892499135845,0.8673571667223549,0.9096219931271565,0.32797990318071363,0.2601407744906626,0.5972540045766981,0.2010666666666667,1.0,0.0
2021-02-19,0.27202235417394344,0.30535776011061183,0.8453057133310982,0.8670103092783515,0.29241953073435756,0.31198244693136284,0.4645308924485718,0.42666666666666664,1.0,0.01098901098901099
2021-02-28,0.2759343346140412,0.24887659868648462,0.6658870698296019,0.6735395189003504,0.2336653423201641,0.1975350116530559,0.40503432494282865,0.2714666666666667,1.0,0.02197802197802198
2021-03-03,0.3140761439049948,0.29671621154510885,0.662545940527901,0.670103092783515,0.26462990704157086,0.23430407122010966,0.40503432494282865,0.29742222222222225,1.0,0.03296703296703297
2021-03-11,0.3459657701711492,0.2646042170757,0.6658870698296019,0.6666666666666797,0.29296901464319314,0.20787508486083234,0.3592677345538555,0.13368888888888894,1.0,0.04395604395604396
2021-03-15,0.2285015717778554,0.20843415139993085,0.7560975609756033,0.7158075601374602,0.21971262132556285,0.17581749847775496,0.06864988558358981,0.28817777777777775,1.0,0.05494505494505495
2021-03-22,0.22340202584701366,0.2506049083995852,0.7427330437687995,0.7766323024055081,0.2110123283411914,0.2293516982663924,0.5652173913043648,0.4096000000000001,1.0,0.06593406593406594
2021-03-27,0.27055536150890674,0.40114068441064643,0.652522552622779,0.6563573883161542,0.22451204604522035,0.3102658855971067,0.3821510297483421,0.676711111111111,1.0,0.07692307692307693
2021-04-02,0.26838980090813835,0.5247148288973384,0.652522552622779,0.6621993127147782,0.22271502218067046,0.40945766057068567,0.4210526315789953,1.0,1.0,0.08791208791208792
2021-04-08,0.17073000349283968,0.11365364673349464,0.652522552622779,0.6563573883161542,0.14167504274064513,0.0879064396245831,0.3821510297483421,0.19146666666666665,1.0,0.09890109890109891
2021-04-13,0.19269996507160322,0.170549602488766,0.8062145005011744,0.7628865979381472,0.1975696441729214,0.15332311503978896,0.0389016018306532,0.2818666666666667,1.0,0.1098901098901099
2021-04-20,0.4159622773314705,0.41306602143104043,0.740394253257605,0.7766323024055081,0.3916561614198382,0.37803486817701926,0.5812356979405314,0.3373333333333333,1.0,0.1208791208791209
2021-04-24,0.3148096402375131,0.3256481161424127,0.686936184430333,0.6965635738831705,0.27501247413807983,0.2673044981488126,0.41418764302067534,0.36995555555555565,1.0,0.13186813186813187
2021-05-02,0.3159622773314705,0.40214310404424475,0.6592048112262,0.6735395189003504,0.26487659229566046,0.31918365632939616,0.45080091533180183,0.5637333333333333,1.0,0.14285714285714288
2021-05-05,0.27638840377226687,0.39509160041479435,0.6458402940193771,0.6539518900343655,0.22700369771133708,0.3044672139752667,0.4118993135011486,0.6463111111111112,1.0,0.15384615384615385
2021-05-14,0.5241005937827454,0.538368475630833,0.6057467423989279,0.6185567010309264,0.4037325043173239,0.392424465114325,0.45080091533180183,0.38435555555555556,1.0,0.16483516483516486
2021-05-16,0.4572825707300035,0.438299343242309,0.5957233544938061,0.6048109965635851,0.34643140216909823,0.3123830320336562,0.42791762013744533,0.2970666666666667,1.0,0.17582417582417584
2021-05-26,0.41348236115962284,0.38745247148288975,0.652522552622779,0.6391752577319579,0.34311562110551497,0.2918336237848276,0.26773455377577915,0.2777777777777778,1.0,0.18681318681318682
2021-05-27,0.4082431016416347,0.41956446595229874,0.6769127965252302,0.6597938144329895,0.35143058525238263,0.32621496210132905,0.2379862700228425,0.37368888888888896,1.0,0.19780219780219782
2021-06-07,0.6271393643031784,0.5947113722779122,0.6224523889074516,0.633333333333334,0.49643018002191136,0.4438492871690432,0.43478260869563523,0.26702222222222216,1.0,0.2087912087912088
2021-06-18,1.0,0.9935015554787419,0.6090878717006288,0.615120274914091,0.774582941713188,0.720154254239544,0.40503432494282865,0.3436444444444446,1.0,0.2197802197802198
2021-06-19,0.9605309116311561,1.0,0.6090878717006288,0.615120274914091,0.7440108591377111,0.724864747587155,0.40503432494282865,0.46079999999999993,1.0,0.23076923076923078
2021-06-29,0.7863429968564444,0.8486000691323885,1.0,1.0,1.0,1.0,0.2906178489702657,0.5147555555555554,1.0,0.2417582417582418
2021-07-01,0.5406915822563745,0.6491531282405808,0.9532241897761489,0.9989690721649533,0.6554395441626965,0.7641808218027628,0.604118993135018,0.6270222222222223,1.0,0.2527472527472528
2021-07-10,0.7137268599371289,0.6717594192879365,0.8138990978950827,0.8443298969072266,0.7387382475186834,0.6683791126881892,0.5286041189932383,0.24479999999999996,1.0,0.26373626373626374
2021-07-13,0.7444289207125393,0.7627722087798133,0.7494153023722013,0.782474226804132,0.7094695660044742,0.7033343691603576,0.5583524027460448,0.4007111111111112,1.0,0.27472527472527475
2021-07-21,0.6713587146349983,0.6491531282405808,0.8763782158369512,0.9611683848797256,0.7482283874473432,0.7352644508367108,0.878718535469117,0.29448888888888897,1.0,0.28571428571428575
