date,T_0,T_1,const,trend
2019-09-10,0.5223044242601816,0.3817194671645491,1.0,0.0
2019-09-19,0.4027248754761207,0.40651950913719076,1.0,0.011764705882352941
2019-09-22,0.7340316437152066,0.5443942099464306,1.0,0.023529411764705882
2019-09-30,0.5199238206856139,0.5447361422438357,1.0,0.03529411764705882
2019-10-04,0.3973776736009377,0.3870673606625888,1.0,0.047058823529411764
2019-10-11,0.5162613536478172,0.4176133125641123,1.0,0.058823529411764705
2019-10-16,0.49549516554351014,0.6072717601914821,1.0,0.07058823529411765
2019-10-22,0.4275930266627601,0.5034003267353064,1.0,0.08235294117647059
2019-10-28,0.22813507178435397,0.3870673606625888,1.0,0.09411764705882353
2019-11-02,0.49304131262818635,0.24410166786976176,1.0,0.10588235294117647
2019-11-09,0.17931438617052448,0.17856464420044832,1.0,0.11764705882352941
2019-11-13,0.17488280105479054,0.16279776604232363,1.0,0.12941176470588234
2019-11-21,0.07965865807207735,0.09008016412750275,1.0,0.1411764705882353
2019-11-24,0.22157925578669793,0.18460544812127197,1.0,0.15294117647058825
2019-12-03,0.2217257544682098,0.08373542038676342,1.0,0.16470588235294117
2019-12-05,0.04424260181658366,0.06838645948102275,1.0,0.1764705882352941
2019-12-15,0.24798564312921184,0.1610121196003191,1.0,0.18823529411764706
2019-12-16,0.28200996191034283,0.22844876714410545,1.0,0.2
2019-12-27,0.15305449750952244,0.18141408001215756,1.0,0.21176470588235294
2020-01-07,0.19912833284500442,0.15231184225523342,1.0,0.22352941176470587
2020-01-08,0.29772194550249054,0.1777668021731697,1.0,0.23529411764705882
2020-01-18,0.17458980369176677,0.2995326925268797,1.0,0.24705882352941178
2020-01-20,0.12529299736302374,0.11336955282853994,1.0,0.2588235294117647
2020-01-29,0.15382361558745972,0.1644694350518597,1.0,0.27058823529411763
2020-02-01,0.3949238206856139,0.40002279548649367,1.0,0.2823529411764706
2020-02-09,0.35646791678874895,0.20420956650583183,1.0,0.29411764705882354
2020-02-13,0.14741429827131558,0.1510200980205919,1.0,0.3058823529411765
2020-02-20,0.2505859947260475,0.1667109912237377,1.0,0.3176470588235294
2020-02-25,0.28200996191034283,0.21420158808555903,1.0,0.32941176470588235
2020-03-02,0.17594491649575156,0.21385965578815394,1.0,0.3411764705882353
2020-03-08,0.2565191913272781,0.20075225105429123,1.0,0.3529411764705882
2020-03-13,0.2507324934075594,0.35143041677747805,1.0,0.36470588235294116
2020-03-24,0.1858702021681805,0.1608601496903613,1.0,0.3764705882352941
2020-04-01,0.18173161441547026,0.17066220888264122,1.0,0.38823529411764707
2020-04-04,0.2851963082332259,0.2966832567151704,1.0,0.4
2020-04-13,0.3474582478757691,0.5990273925762698,1.0,0.4117647058823529
2020-04-15,0.36701582185760334,0.22559933133239615,1.0,0.4235294117647059
2020-04-25,0.4225388221506006,0.5448881121537935,1.0,0.43529411764705883
2020-04-26,0.46070172868444187,0.40952091485885794,1.0,0.44705882352941173
2020-05-18,0.585518605332552,0.4948520193001785,1.0,0.4588235294117647
2020-05-19,0.6227658951069441,0.5785874396869419,1.0,0.47058823529411764
2020-05-29,0.5840169938470554,0.5800311538315412,1.0,0.4823529411764706
2020-05-31,0.5846029885731029,0.5993313323961855,1.0,0.49411764705882355
2020-06-09,0.5319733372399649,0.5147980699821435,1.0,0.5058823529411764
2020-06-12,0.751098740111339,0.590479085141142,1.0,0.5176470588235293
2020-06-20,0.7022780544975096,0.7157022909463926,1.0,0.5294117647058824
2020-06-24,0.8310870202168181,0.7588997378519053,1.0,0.5411764705882353
2020-07-01,0.6950996191034281,0.667109912237377,1.0,0.5529411764705883
2020-07-06,0.5556328743041312,0.746248242847916,1.0,0.5647058823529412
2020-07-12,0.5916349252856724,0.5442422400364727,1.0,0.5764705882352941
2020-07-18,0.7167814239671843,0.6753162873750996,1.0,0.5882352941176471
2020-07-23,0.6755786697919718,0.5915808669883362,1.0,0.6
2020-07-30,0.7267067096396133,0.668363663994529,1.0,0.611764705882353
2020-08-03,0.6856504541459127,0.7642946696554083,1.0,0.6235294117647059
2020-08-11,1.0,1.0,1.0,0.6352941176470588
2020-08-14,0.8851084090243188,0.9471144713346756,1.0,0.6470588235294118
2020-08-23,0.6847348373864635,0.8112913643098666,1.0,0.6588235294117647
2020-08-25,0.661221799003809,0.6275217506933627,1.0,0.6705882352941176
2020-09-04,0.6859434515089364,0.5026024847080277,1.0,0.6823529411764706
2020-09-05,0.5586727219455025,0.6827628129630333,1.0,0.6941176470588235
2020-09-16,0.7739891590975682,0.7940427795296531,1.0,0.7058823529411764
2020-09-27,0.4127966598300616,0.3751757152083887,1.0,0.7176470588235294
2020-09-28,0.42605479050688544,0.39941491584666233,1.0,0.7294117647058823
2020-10-08,0.4625329622033402,0.43250636373997947,1.0,0.7411764705882353
2020-10-10,0.3894301201289188,0.4494130162227879,1.0,0.7529411764705882
2020-10-19,0.3610460005859948,0.3211884046958702,1.0,0.7647058823529411
2020-10-22,0.6018532083211251,0.537289616655902,1.0,0.7764705882352941
2020-10-30,0.48893934954585416,0.3818243987690437,1.0,0.788235294117647
2020-11-03,0.3778567242894814,0.6143763534820105,1.0,0.8
2020-11-10,0.3726560210958102,0.4244139660347251,1.0,0.8117647058823529
2020-11-15,0.49183269850571343,0.4788571862771171,1.0,0.8235294117647058
2020-11-21,0.19059478464693821,0.14186391094563275,1.0,0.8352941176470589
2020-11-27,0.17165983006152946,0.2509023213403746,1.0,0.8470588235294118
2020-12-02,0.165580134778787,0.14516925648721554,1.0,0.8588235294117647
2020-12-09,0.08317462642836215,0.07043805326545344,1.0,0.8705882352941177
2020-12-13,0.25333284500439496,0.20721097222749893,1.0,0.8823529411764706
2020-12-21,0.2902505127453853,0.32848296037384594,1.0,0.8941176470588235
2020-12-24,0.23699824201582187,0.4157136886896394,1.0,0.9058823529411765
2021-01-02,0.11078962789334898,0.07077998556285856,1.0,0.9176470588235294
2021-01-04,0.06453266920597715,0.06318149006496712,1.0,0.9294117647058824
2021-01-14,0.04380310577204806,0.08043007484518065,1.0,0.9411764705882353
