date,deform
2017-11-28,0.19273248389763806
2017-12-01,0.19089669693324596
2017-12-09,0.03569111518847398
2017-12-13,0.573725088918507
2017-12-20,0.40154329399316285
2017-12-25,0.28129752098503175
2017-12-31,0.48649817782689514
2018-01-06,0.5625274763473554
2018-01-11,0.26705004400070254
2018-01-18,0.41170931541896216
2018-01-22,0.179379971538079
2018-01-30,0.19628646974742006
2018-02-02,0.2924743601979274
2018-02-11,0.6752586203729026
2018-02-13,0.45803335688900215
2018-02-23,0.0
2018-02-24,0.21964976550020185
2018-03-07,0.09955275007278083
2018-03-18,0.14354230792758774
2018-03-19,0.1278243521510662
2018-03-29,0.3916785750615925
2018-03-31,0.24803866068533584
2018-04-09,0.24433708485417194
2018-04-12,0.3502808876233655
2018-04-20,0.2968357876673432
2018-04-24,0.500071528420289
2018-05-01,0.49215319505164407
2018-05-06,0.05996362077064361
2018-05-12,0.6796650310407331
2018-05-18,0.881155800588356
2018-05-23,0.648767032075062
2018-05-30,0.6426453577518123
2018-06-03,0.7930582935736169
2018-06-11,0.6731004030318418
2018-06-14,0.9441599874843263
2018-06-23,0.40403021206635786
2018-06-25,0.7160763450555107
2018-07-05,0.9812352974551005
2018-07-17,0.9099011531185384
2018-07-29,1.0
2018-08-08,0.9672676414350545
2018-08-10,0.7659714877000626
2018-08-19,0.9263343282296721
2018-08-22,0.9458429269963903
2018-08-30,0.9470261627936852
2018-09-03,0.593522865517225
2018-09-10,0.793081058908132
2018-09-15,0.4925939440551566
2018-09-21,0.8449514674282862
2018-09-27,0.3050574907659311
2018-10-02,0.5616052606794442
2018-10-09,0.49518391756752134
2018-10-13,0.858138638171505
2018-10-21,0.48671612724775193
2018-10-24,0.6571092934645965
2018-11-02,0.5618593829426836
2018-11-04,0.6152505632065005
2018-11-14,0.655456572325812
2018-11-15,0.5541382674162691
2018-11-26,0.5611381612274994
2018-12-07,0.6364781620168919
2018-12-08,0.5241587878769308
2018-12-18,0.5601635460152898
2018-12-20,0.5292577755578447
2018-12-29,0.6216079118103244
2019-01-01,0.7823490766466158
2019-01-09,0.40095797803546246
2019-01-13,0.4859901949478633
