date,deform
2021-02-17,0.14377304693693854
2021-02-19,0.49242666036312766
2021-02-28,0.20857576068859038
2021-03-03,0.3789877349137634
2021-03-11,0.0
2021-03-15,0.4555881123384563
2021-03-22,0.21775595659002908
2021-03-27,0.2457784039893079
2021-04-02,0.2323390744759354
2021-04-08,0.3257550057243248
2021-04-13,0.16886247821860423
2021-04-20,0.41987251422728744
2021-04-24,0.3579894602538511
2021-05-02,0.243942614402087
2021-05-05,0.08417601483913117
2021-05-14,0.46740430793279664
2021-05-16,0.39947123389482436
2021-05-26,0.48966814530142355
2021-05-27,0.44057185064209786
2021-06-07,0.5828457415465282
2021-06-18,0.517043019606616
2021-06-19,0.613110832195174
2021-06-29,0.9040277589401227
2021-07-01,0.8570983235338766
2021-07-10,0.5109195717512993
2021-07-13,0.3317590612145913
2021-07-21,0.6090117716920747
2021-07-25,0.7609339543532415
2021-08-01,0.9914913145489941
2021-08-06,0.3249555815672311
2021-08-12,1.0
2021-08-18,0.49776501489687325
2021-08-23,0.6955804413924742
2021-08-30,0.6103507882590217
2021-09-03,0.8274884313264997
2021-09-11,0.5920263832653777
2021-09-23,0.7041904503233013
2021-09-25,0.4227653342896299
2021-10-05,0.5720814052754313
2021-10-06,0.5623498703511091
2021-10-17,0.5979614295496912
2021-10-29,0.534177835581899
2021-11-08,0.5097530146581823
2021-11-10,0.4958423706650545
2021-11-19,0.6925090212390728
2021-11-22,0.37313753611133427
2021-11-30,0.5944628108756782
2021-12-04,0.55238168189924
2021-12-11,0.6652409655234885
2021-12-16,0.5067349855697308
2021-12-22,0.4939142279114811
2021-12-28,0.4730186860744041
2022-01-02,0.6609159780090835
2022-01-09,0.5696472798100766
2022-01-13,0.43082822341922744
2022-01-21,0.42275369017682796
2022-01-24,0.4678634404976919
2022-02-02,0.3431566547488152
2022-02-04,0.6417009247668342
2022-02-14,0.46041982533387527
2022-02-15,0.4560598929664154
2022-02-26,0.19557689310497517
2022-03-09,0.15474834503524698
2022-03-10,0.2194815589384079
2022-03-20,0.06312117526019545
2022-03-22,0.39100455785894656
2022-03-31,0.33966263907783906
2022-04-03,0.45496468296094555
2022-04-11,0.2762686092428158
2022-04-15,0.5450881260434909
2022-04-22,0.3698714769342119
2022-04-27,0.25231817589999095
2022-05-03,0.3552519822778208
2022-05-09,0.7155076081921354
2022-05-14,0.6283743766865457
2022-05-21,0.6318669464204348
2022-05-25,0.4938390776362893
2022-06-02,0.48238296221592336
2022-06-05,0.829155002233288
2022-06-14,0.3196334888855039
2022-06-26,0.5943472224489916
2022-06-27,0.7003131114587006
2022-07-08,0.5934601197275222
2022-07-19,0.6841611473685519
2022-07-20,0.8056147097819608
2022-07-30,0.7445911305363203
2022-08-01,0.6702324857653449
2022-08-10,0.8336795564353059
2022-08-13,0.7865486335705284
2022-08-21,0.7966142105331907
2022-08-25,0.6301468154269615
