date,T_0,const,trend
2017-11-28,0.21879565005680895,1.0,0.0
2017-12-01,0.08752637558837852,1.0,0.014705882352941176
2017-12-09,0.08752637558837852,1.0,0.029411764705882353
2017-12-13,0.08752637558837852,1.0,0.044117647058823525
2017-12-20,0.24054536601201104,1.0,0.058823529411764705
2017-12-25,0.26257912676513556,1.0,0.07352941176470588
2017-12-31,0.4431504625872424,1.0,0.08823529411764705
2018-01-06,0.21680733647135206,1.0,0.10294117647058823
2018-01-11,0.31618243791592276,1.0,0.11764705882352941
2018-01-18,0.16190553481577666,1.0,0.1323529411764706
2018-01-22,0.19055348157766597,1.0,0.14705882352941177
2018-01-30,0.23867878591137803,1.0,0.16176470588235295
2018-02-02,0.13126927446843045,1.0,0.1764705882352941
2018-02-11,0.13126927446843045,1.0,0.19117647058823528
2018-02-13,0.054049667261808154,1.0,0.20588235294117646
2018-02-23,0.03554617756857653,1.0,0.22058823529411764
2018-02-24,0.0021912027268300603,1.0,0.23529411764705882
2018-03-07,0.31025807498782665,1.0,0.25
2018-03-18,0.0,1.0,0.2647058823529412
2018-03-19,0.043377698425580265,1.0,0.27941176470588236
2018-03-29,0.2623762376237624,1.0,0.29411764705882354
2018-03-31,0.3888167505275118,1.0,0.3088235294117647
2018-04-09,0.6579694854731375,1.0,0.3235294117647059
2018-04-12,0.542971920142834,1.0,0.3382352941176471
2018-04-20,0.8326164583671481,1.0,0.3529411764705882
2018-04-24,0.5226830060055186,1.0,0.3676470588235294
2018-05-01,0.38735594870962514,1.0,0.38235294117647056
2018-05-06,0.7712627820159065,1.0,0.39705882352941174
2018-05-12,0.789238759941568,1.0,0.4117647058823529
2018-05-18,0.5936942054861224,1.0,0.4264705882352941
2018-05-23,0.8079045609478981,1.0,0.4411764705882353
2018-05-30,0.9791429962668399,1.0,0.45588235294117646
2018-06-03,0.8761970459341016,1.0,0.47058823529411764
2018-06-11,0.8409349131634476,1.0,0.4852941176470588
2018-06-14,0.6440918682032138,1.0,0.5
2018-06-23,0.6004301249797112,1.0,0.5147058823529411
2018-06-25,0.7013471838987178,1.0,0.5294117647058824
2018-07-05,0.8990829410809934,1.0,0.5441176470588235
2018-07-17,0.9285424444083753,1.0,0.5588235294117647
2018-07-29,0.9307336471352053,1.0,0.5735294117647058
2018-08-08,0.9955364388897906,1.0,0.5882352941176471
2018-08-10,0.779459503327382,1.0,0.6029411764705882
2018-08-19,0.8386625547800682,1.0,0.6176470588235294
2018-08-22,1.0,1.0,0.6323529411764706
2018-08-30,0.7471189741925012,1.0,0.6470588235294118
2018-09-03,0.7681788670670345,1.0,0.6617647058823529
2018-09-10,0.6960720662230158,1.0,0.6764705882352942
2018-09-15,0.6245739328031165,1.0,0.6911764705882353
2018-09-21,0.7509332900503166,1.0,0.7058823529411764
2018-09-27,0.591665314072391,1.0,0.7205882352941176
2018-10-02,0.3841908781042039,1.0,0.7352941176470588
2018-10-09,0.529784125953579,1.0,0.75
2018-10-13,0.8425580262944328,1.0,0.7647058823529411
2018-10-21,0.40366823567602667,1.0,0.7794117647058824
2018-10-24,0.48137477682194457,1.0,0.7941176470588235
2018-11-02,0.43759130011361796,1.0,0.8088235294117647
2018-11-04,0.27312936211653954,1.0,0.8235294117647058
2018-11-14,0.35026781366661264,1.0,0.8382352941176471
2018-11-15,0.2554374289888005,1.0,0.8529411764705882
2018-11-26,0.21879565005680895,1.0,0.8676470588235294
2018-12-07,0.44323161824379165,1.0,0.8823529411764706
2018-12-08,0.3282746307417627,1.0,0.8970588235294118
2018-12-18,0.19700535627333224,1.0,0.9117647058823529
2018-12-20,0.3282746307417627,1.0,0.9264705882352942
2018-12-29,0.20674403505924363,1.0,0.9411764705882353
2019-01-01,0.31005518584645353,1.0,0.9558823529411764
2019-01-09,0.19700535627333224,1.0,0.9705882352941176
2019-01-13,0.27803927933776984,1.0,0.9852941176470588
