date,T_0,W_0,const,trend
2021-02-17,0.29734544184421935,0.8673571667223549,1.0,0.0
2021-02-19,0.27202235417394344,0.8453057133310982,1.0,0.01098901098901099
2021-02-28,0.2759343346140412,0.6658870698296019,1.0,0.02197802197802198
2021-03-03,0.3140761439049948,0.662545940527901,1.0,0.03296703296703297
2021-03-11,0.3459657701711492,0.6658870698296019,1.0,0.04395604395604396
2021-03-15,0.2285015717778554,0.7560975609756033,1.0,0.05494505494505495
2021-03-22,0.22340202584701366,0.7427330437687995,1.0,0.06593406593406594
2021-03-27,0.27055536150890674,0.652522552622779,1.0,0.07692307692307693
2021-04-02,0.26838980090813835,0.652522552622779,1.0,0.08791208791208792
2021-04-08,0.17073000349283968,0.652522552622779,1.0,0.09890109890109891
2021-04-13,0.19269996507160322,0.8062145005011744,1.0,0.1098901098901099
2021-04-20,0.4159622773314705,0.740394253257605,1.0,0.1208791208791209
2021-04-24,0.3148096402375131,0.686936184430333,1.0,0.13186813186813187
2021-05-02,0.3159622773314705,0.6592048112262,1.0,0.14285714285714288
2021-05-05,0.27638840377226687,0.6458402940193771,1.0,0.15384615384615385
2021-05-14,0.5241005937827454,0.6057467423989279,1.0,0.16483516483516486
2021-05-16,0.4572825707300035,0.5957233544938061,1.0,0.17582417582417584
2021-05-26,0.41348236115962284,0.652522552622779,1.0,0.18681318681318682
2021-05-27,0.4082431016416347,0.6769127965252302,1.0,0.19780219780219782
2021-06-07,0.6271393643031784,0.6224523889074516,1.0,0.2087912087912088
2021-06-18,1.0,0.6090878717006288,1.0,0.2197802197802198
2021-06-19,0.9605309116311561,0.6090878717006288,1.0,0.23076923076923078
2021-06-29,0.7863429968564444,1.0,1.0,0.2417582417582418
2021-07-01,0.5406915822563745,0.9532241897761489,1.0,0.2527472527472528
2021-07-10,0.7137268599371289,0.8138990978950827,1.0,0.26373626373626374
2021-07-13,0.7444289207125393,0.7494153023722013,1.0,0.27472527472527475
2021-07-21,0.6713587146349983,0.8763782158369512,1.0,0.28571428571428575
2021-07-25,0.7725113517289557,0.542265285666553,1.0,0.2967032967032967
2021-08-01,0.6496681802305275,0.46541931172735534,1.0,0.3076923076923077
2021-08-06,0.6765979741529864,0.46541931172735534,1.0,0.3186813186813187
2021-08-12,0.7506811037373385,0.46541931172735534,1.0,0.3296703296703297
2021-08-18,0.4680424574067605,0.45873705312395346,1.0,0.34065934065934067
2021-08-23,0.6298987076493189,0.44971600400935713,1.0,0.3516483516483517
2021-08-30,0.6233321690534405,0.45873705312395346,1.0,0.3626373626373627
2021-09-03,0.6824310164163465,0.48546608753758,1.0,0.37362637362637363
2021-09-11,0.7192455466294096,0.4921483461410009,1.0,0.38461538461538464
2021-09-23,0.58679706601467,0.4620781824256544,1.0,0.39560439560439564
2021-09-25,0.6330771917568984,0.4553959238222525,1.0,0.40659340659340665
2021-10-05,0.494411456514146,0.4353491480120279,1.0,0.4175824175824176
2021-10-06,0.45190359762486904,0.4353491480120279,1.0,0.4285714285714286
2021-10-17,0.3132029339853301,0.4754426996324772,1.0,0.4395604395604396
2021-10-29,0.506182326231226,0.5589709321750768,1.0,0.45054945054945056
2021-11-08,0.3418791477471184,0.6291346475108535,1.0,0.46153846153846156
2021-11-10,0.2268948655256724,0.6458402940193771,1.0,0.47252747252747257
2021-11-19,0.3987775061124694,0.6435015035081827,1.0,0.4835164835164836
2021-11-22,0.18005588543485856,0.6692281991313028,1.0,0.4945054945054945
2021-11-30,0.25965770171149144,0.652522552622779,1.0,0.5054945054945056
2021-12-04,0.1868669228082431,0.9632475776812517,1.0,0.5164835164835165
2021-12-11,0.10988473629060426,0.9632475776812517,1.0,0.5274725274725275
2021-12-16,0.3279077890324834,0.5833611760775088,1.0,0.5384615384615385
2021-12-22,0.0,0.4553959238222525,1.0,0.5494505494505495
2021-12-28,0.3360461054837583,0.428666889408607,1.0,0.5604395604395604
2022-01-02,0.41100244498777505,0.6224523889074516,1.0,0.5714285714285715
2022-01-09,0.18323436954243802,0.776144336785828,1.0,0.5824175824175825
2022-01-13,0.12399580859238563,0.8329435349148009,1.0,0.5934065934065934
2022-01-21,0.15179881243450927,0.7627798195790052,1.0,0.6043956043956045
2022-01-24,0.18861334264757249,0.6926161042432284,1.0,0.6153846153846154
2022-02-02,0.26720223541739435,0.7517540928833959,1.0,0.6263736263736264
2022-02-04,0.2587844917918268,0.8138990978950827,1.0,0.6373626373626374
2022-02-14,0.3376528117359413,0.8686936184430238,1.0,0.6483516483516484
2022-02-15,0.27638840377226687,0.8229201470096791,1.0,0.6593406593406594
2022-02-26,0.15298637792525324,0.5489475442699548,1.0,0.6703296703296704
2022-03-09,0.25745721271393646,0.457734714333447,1.0,0.6813186813186813
2022-03-10,0.2871463499825358,0.4553959238222525,1.0,0.6923076923076924
2022-03-20,0.3181627663290255,0.39859672569327953,1.0,0.7032967032967034
2022-03-22,0.41697520083828155,0.39191446708987765,1.0,0.7142857142857143
2022-03-31,0.23010827803003844,0.3952555963915786,1.0,0.7252747252747254
2022-04-03,0.1369542438002096,0.40862011359840134,1.0,0.7362637362637363
2022-04-11,0.34449877750611246,0.6969595723354548,1.0,0.7472527472527473
2022-04-15,0.36632902549772967,0.6558636819244801,1.0,0.7582417582417583
2022-04-22,0.4590289905693329,0.5957233544938061,1.0,0.7692307692307693
2022-04-27,0.4431714984282222,0.6114266622118233,1.0,0.7802197802197803
2022-05-03,0.5117010129235069,0.6057467423989279,1.0,0.7912087912087913
2022-05-09,0.6259517988124345,0.5933845639826306,1.0,0.8021978021978022
2022-05-14,0.6117010129235068,0.5756765786836004,1.0,0.8131868131868133
2022-05-21,0.5798113866573525,0.5689943200801796,1.0,0.8241758241758242
2022-05-25,0.5953894516241705,0.5656531907784786,1.0,0.8351648351648352
2022-06-02,0.5360111770869718,0.5489475442699548,1.0,0.8461538461538463
2022-06-05,0.6753056234718826,0.5379218175743455,1.0,0.8571428571428572
2022-06-14,0.6099545930841775,0.5155362512529265,1.0,0.8681318681318682
2022-06-26,0.7060076842472931,0.456398262612759,1.0,0.8791208791208792
2022-06-27,0.6411107230178135,0.4520547945205516,1.0,0.8901098901098902
2022-07-08,0.6709395738735592,0.3541597059806228,1.0,0.9010989010989011
