date,T_0,T_1,W_0,W_1,inter_0,inter_1,W_diff,T_diff,const,trend
2019-09-10,0.5223044242601816,0.3817194671645491,0.01574895006999427,0.016686531585218902,0.04123177804633788,0.321646932739687,0.43062200956934243,0.488528804928895,1.0,0.0
2019-09-19,0.4027248754761207,0.40651950913719076,0.007582827811478967,0.008939213349230703,0.015307222775838009,0.016667009352850384,0.4385964912281179,0.5061950889840054,1.0,0.011764705882352941
2019-09-22,0.7340316437152066,0.5443942099464306,0.0,0.0,0.0,0.0,0.4226475279106576,0.09942179169482634,1.0,0.023529411764705882
2019-09-30,0.5199238206856139,0.5447361422438357,0.0072911805879608,0.0017878426698434305,0.019001781637886156,0.0044667585065571325,0.34688995215306123,0.5390853795899978,1.0,0.03529411764705882
2019-10-04,0.3973776736009377,0.3870673606625888,0.012249183387776266,0.011918951132303087,0.024398737369361007,0.021159313555984473,0.4146730462519728,0.47871142149132695,1.0,0.047058823529411764
2019-10-11,0.5162613536478172,0.4176133125641123,0.0274148390107342,0.023480333730632068,0.07094341142000543,0.04497338574562656,0.36204146730458053,0.2953367875647669,1.0,0.058823529411764705
2019-10-16,0.49549516554351014,0.6072717601914821,0.0355809612692495,0.03337306317044458,0.08837183054672876,0.0929514438614724,0.38277511961723354,0.7127731471052039,1.0,0.07058823529411765
2019-10-22,0.4275930266627601,0.5034003267353064,0.10242650489967167,0.08104886769964338,0.21953295344761295,0.18712741964995944,0.10685805422648526,0.6466921979424797,1.0,0.08235294117647059
2019-10-28,0.22813507178435397,0.3870673606625888,0.14524031731217968,0.14541120381406786,0.1660871364202645,0.25814362538295765,0.38277511961723354,0.8257114965833147,1.0,0.09411764705882353
2019-11-02,0.49304131262818635,0.24410166786976176,0.14990667288847698,0.15017878426698367,0.3704768103306379,0.16813429808837071,0.3827751196171429,0.0,1.0,0.10588235294117647
2019-11-09,0.17931438617052448,0.17856464420044832,0.20940270648623605,0.20178784266984343,0.18821497616666005,0.16525988800184938,0.259968102073288,0.5137042877524969,1.0,0.11764705882352941
2019-11-13,0.17488280105479054,0.16279776604232363,0.23856742883807924,0.23480333730632066,0.2091293575331136,0.17531928486172654,0.30303030303029477,0.49162724337313213,1.0,0.12941176470588234
2019-11-21,0.07965865807207735,0.09008016412750275,0.29573028464769296,0.3051251489868899,0.11808250017829368,0.12606198964423165,0.46251993620408166,0.5431403469249831,1.0,0.1411764705882353
2019-11-24,0.22157925578669793,0.18460544812127197,0.21756882874475134,0.2558998808104881,0.24164762205204846,0.21666640705592827,0.8724082934608617,0.4389877600060074,1.0,0.15294117647058825
2019-12-03,0.2217257544682098,0.08373542038676342,0.24638357442837408,0.2470798569725911,0.2738322818907114,0.09489067376463359,0.3604465709728798,0.23931816475182102,1.0,0.16470588235294117
2019-12-05,0.04424260181658366,0.06838645948102275,0.24755016332244673,0.25351609058403013,0.05489851902823149,0.07951565359287796,0.43062200956934243,0.5728767740482091,1.0,0.1764705882352941
2019-12-15,0.24798564312921184,0.1610121196003191,0.193887074195051,0.19463647199046294,0.24100838262873875,0.1437340871598382,0.37639553429024947,0.33821431253285283,1.0,0.18823529411764706
2019-12-16,0.28200996191034283,0.22844876714410545,0.20555296313579094,0.19749702026221513,0.29056609996489907,0.2069313782360197,0.2551834130780953,0.40174213411429005,1.0,0.2
2019-12-27,0.15305449750952244,0.18141408001215756,0.299230051329911,0.2848629320619774,0.22956625823276713,0.23701941119869205,0.14354066985641725,0.5731771419989488,1.0,0.21176470588235294
2020-01-07,0.19912833284500442,0.15231184225523342,0.299230051329911,0.29439809296782254,0.2986723488900586,0.20565801872146713,0.27113237639555554,0.4211909589246827,1.0,0.22352941176470587
2020-01-08,0.29772194550249054,0.1777668021731697,0.30354643023798783,0.3051251489868899,0.45299429314765044,0.24877437770787006,0.3556618819775964,0.2693549598257866,1.0,0.23529411764705882
2020-01-18,0.17458980369176677,0.2995326925268797,0.20590293980401142,0.2228843861740176,0.18019310821602882,0.3061969498438294,0.5901116427432199,0.7624840429526171,1.0,0.24705882352941178
