,316031,316359,316360,316361,316362,316363
2020-01-05,-1.076476664766199,-13.891115768349255,-3.0596627088803103,0.7989060881367518,-0.855913763374204,-5.165454159879807
2020-01-11,-2.54873355424437,-11.051265015965981,-3.8907679885190873,0.14519458057479984,-0.3452705853839113,-4.346934394443353
2020-01-17,-3.798347543945278,-9.583107979485561,-4.781831670736636,0.12212775886911142,-0.12510755548061248,-3.607547130427637
2020-01-23,-4.0399565409374425,-9.02671139719574,-7.217144125769067,0.1860243049886341,0.178682593279893,-3.241563626014992
2020-01-29,-4.2455079937992615,-8.998174891129587,-8.212932113795716,0.311210759297734,0.2763346014699479,-3.008831358154147
2020-02-04,-4.381797334392644,-9.039655630264136,-9.641021343380672,0.3402124589907709,0.48063669593890523,-2.80571002437828
2020-02-10,-4.651763220219797,-9.145385892966083,-10.663148353357194,0.3685000823404829,0.6552762912571612,-2.572997790024651
2020-02-16,-5.173601028195883,-9.467764020236565,-10.882489556274884,0.4593454004652475,0.70661334908357,-2.2914885756577537
2020-02-22,-5.069308603212658,-9.632474954480585,-13.091884929056434,0.4059227812805677,1.0518712660209104,-2.1554526260665057
2020-02-28,-4.882943363577839,-9.217441361033188,-16.643646274717575,0.19480576783394188,1.707437571214152,-1.9290615857611986
2020-03-05,-4.992743824838961,-8.776529755418885,-18.551569737386018,0.10748862682349003,2.1601917639479726,-1.6400779541797377
2020-03-11,-5.607395100170791,-8.623145856132318,-19.089820324126038,0.14877845353912456,2.399508566671214,-1.2330157324573197
2020-03-17,-5.846376867962594,-8.46256292540587,-21.65456076463628,0.08412748211951193,2.915932212359916,-0.8722812517263012
2020-03-23,-5.533199153029988,-8.422325196063788,-23.557641286298526,0.05971496265719001,3.3060292345380464,-0.7780463790440102
2020-03-29,-5.285162751149443,-8.401668563255363,-23.800793907913928,0.06634998386216928,3.474161412272977,-0.7803277836638163
2020-04-04,-5.509065876021776,-8.546630475741551,-22.394817717872954,0.14823172992481481,3.3878033119247632,-0.7249825781020487
2020-04-10,-5.959026137927747,-8.949571391505806,-20.751924993138502,0.27066650086307664,3.200935687820758,-0.6327811163695802
2020-04-16,-6.262274597714963,-9.509834205359645,-19.820419628341952,0.37323796328998515,3.0511816704895285,-0.5857241539833886
2020-04-22,-6.38048197847295,-10.083036190581716,-19.326833474099395,0.4442758378338194,2.9347424426342226,-0.5972162316386065
2020-04-28,-6.260012423256638,-10.526106960439158,-19.20094078659644,0.465171603374249,2.871031630235178,-0.6852754847968274
2020-05-04,-5.9243446423118495,-10.669204136702056,-19.557360064152846,0.40956927402430665,2.910410253790337,-0.8244061954286632
2020-05-10,-6.092928701537794,-10.816678434083059,-18.285765170128535,0.45221191357244805,2.729441381878079,-0.8447732634738401
2020-05-16,-5.9252097386147575,-10.906522936073536,-18.130920986468517,0.43833312199456476,2.683938051908651,-0.9509996389305844
2020-05-22,-6.356349128065736,-11.16830083288734,-16.39188922270479,0.5410008693390509,2.4015432390416223,-0.9037408364629052
2020-05-28,-6.192633065891432,-11.400098105688095,-16.574694274443807,0.5422316222230199,2.3570091500771007,-1.0029885682306947
2020-06-03,-6.4738038362470505,-11.73023232147839,-15.263177111495835,0.6327435936233359,2.1045394518702185,-0.9988758081778268
